

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   54022.18  0.0       0.0       5000.0    27431.29  32.98     31.37     -11813.66 -9738.45  -21552.0 
lh        0.0-0.1   48619.96  0.0       1117.56   5000.0    27431.29  31.07     36.55     -10673.52 -11766.36 -22440.0 
lh        0.0-0.2   43217.74  0.0       2235.12   5000.0    27431.29  29.16     40.11     -10257.87 -13794.81 -24053.0 
lh        0.0-0.3   37815.53  0.0       3352.68   5000.01   27431.28  27.26     42.67     -10981.15 -15822.71 -26804.0 
lh        0.0-0.4   32413.31  0.0       4470.24   5000.0    27431.28  25.35     44.58     -12690.73 -17851.16 -30542.0 
lh        0.0-0.5   27011.09  0.0       5587.8    5000.0    27431.29  23.82     46.07     -14764.71 -19879.08 -34644.0 
lh        0.0-0.6   21608.87  0.0       6705.36   5000.0    27431.29  24.53     47.25     -17061.46 -21907.53 -38969.0 
lh        0.0-0.7   16206.65  0.0       7822.92   5000.0    27431.29  26.03     48.21     -19512.63 -23935.44 -43448.0 
lh        0.0-0.8   10804.44  0.0       8940.48   5000.01   27431.28  27.85     49.01     -22079.78 -25963.88 -48044.0 
lh        0.0-0.9   5402.22   0.0       10058.04  5000.0    27431.28  29.75     49.68     -24739.07 -27991.79 -52731.0 
lh        0.0-1.0   0.0       0.0       11175.6   5000.0    27431.28  31.29     50.25     -27472.23 -30019.69 -57492.0 
cp        0.1-0.0   50472.18  0.1       0.0       5000.0    27431.29  31.09     31.4      -11109.92 -9743.93  -20854.0 
tm        0.1-0.1   45424.96  0.1       1044.12   5000.0    27431.29  29.11     36.29     -9793.4   -11637.11 -21431.0 
tm        0.1-0.2   40377.74  0.1       2088.24   4999.99   27431.29  27.13     39.72     -9333.18  -13530.85 -22864.0 
tm        0.1-0.3   35330.53  0.1       3132.36   5000.0    27431.29  25.15     42.23     -9596.25  -15425.13 -25021.0 
tm        0.1-0.4   30283.31  0.1       4176.48   4999.99   27431.29  23.17     44.13     -11112.36 -17319.41 -28432.0 
tm        0.1-0.5   25236.09  0.1       5220.6    4999.99   27431.3   21.74     45.62     -13020.93 -19213.71 -32235.0 
tm        0.1-0.6   20188.87  0.1       6264.73   5000.01   27431.27  22.75     46.82     -15155.34 -21108.51 -36264.0 
tm        0.1-0.7   15141.65  0.1       7308.85   5000.01   27431.28  24.48     47.8      -17442.33 -23002.8  -40445.0 
tm        0.1-0.8   10094.44  0.1       8352.97   5000.01   27431.28  26.47     48.61     -19842.84 -24897.63 -44740.0 
tm        0.1-0.9   5047.22   0.1       9397.09   5000.01   27431.28  28.56     49.3      -22331.86 -26792.46 -49124.0 
tm        0.1-1.0   0.0       0.1       10441.21  5000.01   27431.28  30.27     49.89     -24891.67 -27937.02 -52829.0 
cp        0.2-0.0   46922.18  0.2       0.0       5000.0    27431.29  28.92     31.5      -10442.2  -9865.5   -20308.0 
tm        0.2-0.1   42229.96  0.2       970.68    5000.0    27431.29  26.66     36.06     -9100.04  -11592.76 -20693.0 
tm        0.2-0.2   37537.74  0.2       1941.36   4999.99   27431.3   24.58     39.34     -8409.11  -13327.14 -21736.0 
tm        0.2-0.3   32845.53  0.2       2912.05   5000.02   27431.27  22.51     41.78     -8252.28  -15067.5  -23320.0 
tm        0.2-0.4   28153.31  0.2       3882.73   5000.01   27431.28  20.44     43.66     -9541.94  -16812.84 -26355.0 
tm        0.2-0.5   23461.09  0.2       4853.41   5000.0    27431.28  19.21     45.15     -11279.6  -18562.54 -29842.0 
tm        0.2-0.6   18768.87  0.2       5824.09   5000.0    27431.29  20.63     46.35     -13249.82 -20316.09 -33566.0 
tm        0.2-0.7   14076.65  0.2       6794.77   4999.99   27431.3   22.62     47.34     -15372.61 -22072.93 -37446.0 
tm        0.2-0.8   9384.44   0.2       7765.46   5000.02   27431.27  24.84     48.18     -17606.53 -23832.46 -41439.0 
tm        0.2-0.9   4692.22   0.2       8736.14   5000.01   27431.27  27.13     48.88     -19925.24 -25593.12 -45518.0 
tm        0.2-1.0   0.0       0.2       9706.82   5000.01   27431.28  29.05     49.49     -22312.33 -27354.34 -49667.0 
cp        0.3-0.0   43372.18  0.3       0.0       5000.0    27431.29  26.94     31.67     -9809.27  -10146.99 -19956.0 
tm        0.3-0.1   39034.96  0.3       897.24    4999.99   27431.3   23.5      35.87     -8491.51  -11713.79 -20205.0 
tm        0.3-0.2   34697.74  0.3       1794.49   5000.01   27431.28  21.31     38.97     -7484.45  -13288.78 -20773.0 
tm        0.3-0.3   30360.53  0.3       2691.73   5000.01   27431.28  19.12     41.33     -7151.19  -14870.36 -22022.0 
tm        0.3-0.4   26023.31  0.3       3588.97   5000.0    27431.29  16.93     43.17     -7983.7   -16458.53 -24442.0 
tm        0.3-0.5   21686.09  0.3       4486.22   5000.02   27431.27  16.13     44.65     -9540.12  -18051.59 -27592.0 
tm        0.3-0.6   17348.87  0.3       5383.46   5000.01   27431.28  18.05     45.85     -11344.31 -19649.06 -30993.0 
tm        0.3-0.7   13011.65  0.3       6280.7    5000.0    27431.29  20.38     46.86     -13302.92 -21250.37 -34553.0 
tm        0.3-0.8   8674.44   0.3       7177.94   5000.0    27431.29  22.85     47.7      -15369.57 -22855.49 -38225.0 
tm        0.3-0.9   4337.22   0.3       8075.19   5000.02   27431.27  25.39     48.42     -17519.25 -24463.89 -41983.0 
