type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     
ls        	0.0-0.0   	37261.0882	0.0       	0.0       	5000.0    	37431.28795637	30.00163871	37.79353069	-10440.15611825	-13288.59275258	-23728.74887083
lh        	0.0-0.01  	36888.4773	0.0       	77.0822   	5000.0    	37431.28795637	29.86999418	38.03175599	-10411.51132252	-13428.48135302	-23839.99267555
lh        	0.0-0.02  	36515.8664	0.0       	154.1645  	5000.0    	37431.28795637	29.73834964	38.26474362	-10382.86652679	-13568.36995346	-23951.23648025
lh        	0.0-0.03  	36143.2555	0.0       	231.2467  	5000.0    	37431.28795637	29.6067051	38.49264803	-10354.22173106	-13708.25855391	-24062.48028497
lh        	0.0-0.04  	35770.6447	0.0       	308.3289  	5000.0    	37431.28795637	29.47506057	38.71561841	-10325.57693533	-13848.14715435	-24173.72408969
lh        	0.0-0.05  	35398.0338	0.0       	385.4111  	5000.0    	37431.28795637	29.34341603	38.93379886	-10297.17119616	-13988.0357548	-24285.20695096
lh        	0.0-0.06  	35025.4229	0.0       	462.4934  	5000.0    	37431.28795637	29.21177149	39.14732858	-10277.79249589	-14127.92435524	-24405.71685112
lh        	0.0-0.07  	34652.812 	0.0       	539.5756  	5000.0    	37431.28795637	29.08012695	39.35634199	-10270.9542002	-14267.81295568	-24538.76715588
lh        	0.0-0.08  	34280.2011	0.0       	616.6578  	5000.0    	37431.28795637	28.94848242	39.56096896	-10275.44981391	-14407.70155613	-24683.15137004
lh        	0.0-0.09  	33907.5902	0.0       	693.74    	5000.0    	37431.28795637	28.81683788	39.76133495	-10290.18074643	-14547.59015657	-24837.770903
lh        	0.0-0.1   	33534.9794	0.0       	770.8223  	5000.0    	37431.28795637	28.68519334	39.95756115	-10314.17151054	-14687.47875701	-25001.65026755
lh        	0.0-0.11  	33162.3685	0.0       	847.9045  	5000.0    	37431.28795637	28.55354881	40.14976464	-10346.56560118	-14827.36735746	-25173.93295864
