type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	37261.0882	0.0       	0         	5000.0    	5213.80934449	30.00163871	0         	-10440.15611825	-1850.96994657	-12291.12606482
tm        	37006.0882	0.01      	0         	5000.0    	5213.80934449	29.79963506	0         	-10342.2397264	-1851.24904426	-12193.48877066
tm        	36751.0882	0.02      	0         	5000.0    	5213.80934449	29.59350889	0         	-10244.32333455	-1852.08669901	-12096.41003356
tm        	36496.0882	0.03      	0         	5000.0    	5213.80934449	29.38313269	0         	-10146.4069427	-1860.23887802	-12006.64582072
tm        	36241.0882	0.04      	0         	5000.0    	5213.80934449	29.16837366	0         	-10048.49055085	-1879.60506445	-11928.0956153
tm        	35986.0882	0.05      	0         	5000.0    	5213.80934449	28.94909338	0         	-9950.574159	-1906.41848813	-11856.99264712
tm        	35731.0882	0.06      	0         	5000.0    	5213.80934449	28.72514757	0         	-9852.65776715	-1938.72275004	-11791.38051719
tm        	35476.0882	0.07      	0         	5000.0    	5213.80934449	28.49638571	0         	-9754.7413753	-1975.34904305	-11730.09041835
tm        	35221.0882	0.08      	0         	5000.0    	5213.80934449	28.26265078	0         	-9656.82498344	-2015.53296822	-11672.35795166
tm        	34966.0882	0.09      	0         	5000.0    	5213.80934449	28.02377881	0         	-9558.90859159	-2058.74277783	-11617.65136942
tm        	34711.0882	0.1       	0         	5000.0    	5213.80934449	27.77959857	0         	-9460.99219974	-2104.59176376	-11565.5839635
tm        	34456.0882	0.11      	0         	5000.0    	5213.80934449	27.52993114	0         	-9363.07580789	-2152.78926883	-11515.86507672
tm        	34201.0882	0.12      	0         	5000.0    	5213.80934449	27.27458945	0         	-9265.15941604	-2203.111343	-11468.27075904
tm        	33946.0882	0.13      	0         	5000.0    	5213.80934449	27.01337783	0         	-9167.24302419	-2255.38220271	-11422.62522689
tm        	33691.0882	0.14      	0         	5000.0    	5213.80934449	26.74609153	0         	-9069.32663234	-2309.46200932	-11378.78864166
tm        	33436.0882	0.15      	0         	5000.0    	5213.80934449	26.47251613	0         	-8971.41024049	-2365.2385354	-11336.64877589
tm        	33181.0882	0.16      	0         	5000.0    	5213.80934449	26.19242704	0         	-8873.49384864	-2422.62132646	-11296.1151751
tm        	32926.0882	0.17      	0         	5000.0    	5213.80934449	25.90558881	0         	-8775.57745679	-2481.53752497	-11257.11498176
tm        	32671.0882	0.18      	0         	5000.0    	5213.80934449	25.61175453	0         	-8677.66106493	-2541.92883882	-11219.58990375
tm        	32416.0882	0.19      	0         	5000.0    	5213.80934449	25.31066508	0         	-8579.74467308	-2603.74932326	-11183.49399634
tm        	32161.0882	0.2       	0         	5000.0    	5213.80934449	25.00204839	0         	-8481.82828123	-2666.9637596	-11148.79204083
tm        	31906.0882	0.21      	0         	5000.0    	5213.80934449	24.68561863	0         	-8383.91188938	-2731.54648678	-11115.45837616
tm        	31651.0882	0.22      	0         	5000.0    	5213.80934449	24.36107527	0         	-8285.99549753	-2797.48059044	-11083.47608797
tm        	31396.0882	0.23      	0         	5000.0    	5213.80934449	24.02810223	0         	-8188.07910568	-2864.75738733	-11052.83649301
tm        	31141.0882	0.24      	0         	5000.0    	5213.80934449	23.68636673	0         	-8090.16271383	-2933.37616735	-11023.53888117
tm        	30886.0882	0.25      	0         	5000.0    	5213.80934449	23.33551829	0         	-7992.24632198	-3003.34417527	-10995.59049725
tm        	30631.0882	0.26      	0         	5000.0    	5213.80934449	22.97518745	0         	-7894.3320231	-3074.67683073	-10969.00885383
tm        	30376.0882	0.27      	0         	5000.0    	5213.80934449	22.60498454	0         	-7797.47622282	-3147.39820238	-10944.8744252
tm        	30121.0882	0.28      	0         	5000.0    	5213.80934449	22.22449821	0         	-7702.44280239	-3221.54177103	-10923.98457342
tm        	29866.0882	0.29      	0         	5000.0    	5213.80934449	21.83329396	0         	-7609.08037777	-3297.15154011	-10906.23191788
tm        	29611.0882	0.3       	0         	5000.0    	5213.80934449	21.43091245	0         	-7517.26174992	-3374.28358403	-10891.54533395
tm        	29356.0882	0.31      	0         	5000.0    	5213.80934449	21.0168677	0         	-7426.87889278	-3453.0081713	-10879.88706408
tm        	29101.0882	0.32      	0         	5000.0    	5213.80934449	20.59064517	0         	-7337.8392174	-3533.41266817	-10871.25188558
tm        	28846.0882	0.33      	0         	5000.0    	5213.80934449	20.15169957	0         	-7250.06273564	-3615.60553802	-10865.66827367
tm        	28591.0882	0.34      	0         	5000.0    	5213.80934449	19.6994526	0         	-7163.47987162	-3699.72192774	-10863.20179936
tm        	28336.0882	0.35      	0         	5000.0    	5213.80934449	19.23329033	0         	-7078.02974898	-3785.93163177	-10863.96138074
tm        	27839.3912	0.36      	50.0      	5000.0    	5213.80934449	18.61913506	0         	-6947.11966829	-3915.99041985	-10863.11008814
tm        	27471.5625	0.37      	73.3409   	5000.0    	5213.80934449	18.05775195	0         	-6840.43534946	-4022.647902	-10863.08325147
tm        	27086.6894	0.38      	100.2079  	5000.0    	5213.80934449	17.46854704	0         	-6730.59326062	-4132.48999084	-10863.08325146
