type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	27417.9506	0.3714	77.0822	5000	5213.809344	17.97679258	0	-6825.133742	-4037.949509	-10863.08325
tm        	26313.7604	0.4001	154.1645	5000	5213.809344	16.22593383	0	-6510.001154	-4353.082097	-10863.08325
tm        	25209.5459	0.4288	231.2467	5000	5213.809344	14.29914506	0.95848551	-6194.860392	-4668.222859	-10863.08325
tm        	24105.3314	0.4575	308.3289	5000	5213.809344	12.16857202	3.18000989	-5879.719631	-4983.363621	-10863.08325
tm        	23001.1412	0.4862	385.4111	5000	5213.809344	9.8001548	5.67500286	-5564.587043	-5298.496209	-10863.08325
tm        	21896.9267	0.5148	462.4934	5000	5213.809344	7.15155216	8.14492343	-5249.446281	-5613.63697	-10863.08325
tm        	20792.7122	0.5435	539.5756	5000	5213.809344	4.46663448	10.4910073	-4934.30552	-5928.777732	-10863.08325
tm        	19688.4977	0.5722	616.6578	5000	5213.809344	2.21256936	12.6818825	-4619.164758	-6243.918493	-10863.08325
tm        	18584.2893	0.6009	693.74	5000	5213.809344	0.64362596	14.68267716	-4304.02604	-6559.057212	-10863.08325
tm        	17397.829	0.6328	770.8223	5000	5213.809344	4.26E-05	16.67187096	-3961.870231	-6901.882389	-10863.75262
tm        	16216.4087	0.6645	847.9045	5000	5213.809344	0	18.46067726	-3623.764411	-7243.079043	-10866.84345
tm        	15077.5826	0.6946	924.9867	5000	5213.809344	0	20.01457136	-3302.466925	-7569.912472	-10872.3794
tm        	13979.7578	0.723	1002.069	5000	5213.809344	0	21.37608655	-2997.551381	-7882.881747	-10880.43313
tm        	12921.4813	0.7499	1079.1512	5000	5213.809344	0	22.57795358	-2708.72575	-8182.497818	-10891.22357
tm        	11901.1785	0.7753	1156.2334	5000	5213.809344	0	23.64609609	-2435.771053	-8469.351791	-10905.12284
tm        	10916.9403	0.7993	1233.3156	5000	5213.809344	0	24.60161305	-2178.515429	-8744.171234	-10922.68666
tm        	9966.2618	0.822	1310.3979	5000	5213.809344	0	25.46223037	-1936.823236	-9007.89461	-10944.71785
tm        	9045.8116	0.8435	1387.4801	5000	5213.809344	0	26.24331059	-1710.651989	-9261.735529	-10972.38752
tm        	8151.0297	0.8639	1464.5623	5000	5213.809344	0	26.95877438	-1500.171459	-9507.302724	-11007.47418
tm        	7276.2985	0.8836	1541.6446	5000	5213.809344	0	27.62121104	-1306.357024	-9746.529299	-11052.88632
tm        	6414.6752	0.9028	1618.7268	5000	5213.809344	0	28.24238647	-1132.277435	-9981.749245	-11114.02668
tm        	5558.9856	0.9218	1695.809	5000	5213.809344	0	28.83237901	-988.3638859	-10215.32972	-11203.69361
tm        	4799.8655	0.9369	1772.8912	5000	5213.809344	0	29.31533628	-962.0896675	-10417.80631	-11379.89598
tm        	4631.2033	0.9289	1849.9735	5000	5213.809344	0	29.27895906	-1212.879617	-10431.33486	-11644.21447
tm        	4450.625	0.9214	1927.0557	5000	5213.809344	0	29.25247793	-1460.240513	-10453.22634	-11913.46685
tm        	4260.4652	0.9142	2004.1379	5000	5213.809344	0	29.23409868	-1704.93653	-10482.12502	-12187.06156
tm        	4062.426	0.9074	2081.2201	5000	5213.809344	0	29.22250727	-1947.511551	-10517.00477	-12464.51632
tm        	3857.7114	0.9008	2158.3024	5000	5213.809344	0	29.21678127	-2188.342093	-10557.0897	-12745.43179
tm        	3647.3184	0.8944	2235.3846	5000	5213.809344	0	29.21614669	-2427.73304	-10601.73987	-13029.47291
tm        	3431.9522	0.8883	2312.4668	5000	5213.809344	0	29.22564274	-2665.895753	-10650.45964	-13316.35539
tm        	3212.1722	0.8823	2389.5491	5000	5213.809344	0.03244973	29.26084475	-2902.994914	-10702.84069	-13605.8356
tm        	2988.4954	0.8764	2466.6313	5000	5213.809344	0.24076412	29.3204108	-3139.180084	-10758.5229	-13897.70298
tm        	2761.2996	0.8707	2543.7135	5000	5213.809344	0.59920381	29.40217991	-3374.558297	-10817.21582	-14191.77411
tm        	2530.8669	0.8652	2620.7957	5000	5213.809344	1.06923178	29.50431865	-3609.208286	-10878.67985	-14487.88813
tm        	2297.4891	0.8597	2697.878	5000	5213.809344	1.62199252	29.62519727	-3843.210657	-10942.6924	-14785.90305
tm        	2061.4133	0.8543	2774.9602	5000	5213.809344	2.2356345	29.76340129	-4076.632531	-11009.06032	-15085.69286
tm        	1822.7955	0.8491	2852.0424	5000	5213.809344	2.89341038	29.91773192	-4309.515333	-11077.62976	-15387.14509
tm        	1581.8074	0.8439	2929.1246	5000	5213.809344	3.5824653	30.08710729	-4541.904701	-11148.25426	-15690.15896
tm        	1338.6208	0.8388	3006.2069	5000	5213.809344	4.29287667	30.27055938	-4773.845773	-11220.79791	-15994.64368
tm        	1093.3391	0.8339	3083.2891	5000	5213.809344	5.01689873	30.46725883	-5005.365063	-11295.15214	-16300.51721
tm        	846.1303	0.8289	3160.3713	5000	5213.809344	5.74856337	30.67642416	-5236.506086	-11371.19897	-16607.70505
tm        	597.0382	0.8241	3237.4536	5000	5213.809344	6.4831366	30.89741589	-5467.279276	-11448.86012	-16916.1394
tm        	346.1565	0.8193	3314.5358	5000	5213.809344	7.21697403	31.12962915	-5697.708377	-11528.0499	-17225.75827
tm        	93.6076	0.8146	3391.618	5000	5213.809344	7.94726679	31.3725041	-5927.824271	-11608.68062	-17536.50489
