

type      subtype   reward    rate      salary    B_ENPV    O_ENPV    B_Risk%   O_Risk%   B_VaR     O_VaR     T_VaR    
ls        0.0-0.0   54416.13  0.0       0.0       5000.0    13440.17  39.56     45.29     -8446.35  -10816.22 -19262.57
lh        0.0-0.01  53871.97  0.0       58.44     5000.0    13440.17  39.02     45.62     -8376.16  -10881.33 -19257.49
lh        0.0-0.02  53327.81  0.0       116.88    5000.0    13440.17  38.48     45.95     -8305.97  -10945.62 -19251.59
lh        0.0-0.03  52783.65  0.0       175.32    5000.0    13440.17  37.92     46.27     -8235.78  -11010.74 -19246.52
lh        0.0-0.04  52239.48  0.0       233.76    5000.0    13440.18  37.35     46.58     -8166.2   -11075.04 -19241.24
lh        0.0-0.05  51695.32  0.0       292.2     5000.0    13440.18  36.76     46.9      -8096.01  -11140.15 -19236.16
lh        0.0-0.06  51151.16  0.0       350.64    5000.0    13440.18  36.17     47.2      -8026.43  -11204.44 -19230.87
lh        0.0-0.07  50607.0   0.0       409.08    4999.99   13440.18  35.56     47.5      -7956.23  -11269.56 -19225.79
lh        0.0-0.08  50062.84  0.0       467.52    4999.99   13440.18  34.95     47.79     -7886.65  -11333.85 -19220.5 
lh        0.0-0.09  49518.68  0.0       525.96    4999.99   13440.18  34.31     48.08     -7817.07  -11398.96 -19216.03
lh        0.0-0.1   48974.52  0.0       584.4     4999.99   13440.18  33.67     48.37     -7747.49  -11464.07 -19211.56
lh        0.0-0.11  48430.36  0.0       642.84    4999.99   13440.18  33.02     48.65     -7677.91  -11528.37 -19206.28
lh        0.0-0.12  47886.19  0.0       701.28    4999.99   13440.18  32.35     48.92     -7608.33  -11593.48 -19201.81
lh        0.0-0.13  47342.03  0.0       759.72    4999.99   13440.18  31.67     49.19     -7538.75  -11657.77 -19196.52
lh        0.0-0.14  46797.87  0.0       818.16    4999.99   13440.18  30.98     49.46     -7469.78  -11722.88 -19192.66
lh        0.0-0.15  46253.71  0.0       876.6     4999.99   13440.18  30.28     49.72     -7400.2   -11787.18 -19187.38
lh        0.0-0.16  45709.55  0.0       935.04    4999.99   13440.18  29.56     49.98     -7331.23  -11852.29 -19183.52
lh        0.0-0.17  45165.39  0.0       993.48    4999.99   13440.18  28.84     50.23     -7261.65  -11916.58 -19178.23
lh        0.0-0.18  44621.23  0.0       1051.92   4999.99   13440.18  28.1      50.48     -7192.68  -11981.69 -19174.37
