type     	subtype  	reward   	rate     	salary   	B_ENPV   	O_ENPV   	B_Risk%  	O_Risk%  	B_VaR    	O_VaR    	T_VaR    
ls       	0.0-0.0  	37261.0882	0.0      	0.0      	5000.000011	37431.287945	30.001639	37.793531	-10440.156119	-13288.592748	-23728.748867
lh       	0.0-0.01 	36888.4773	0.0      	77.0822  	4999.999921	37431.288036	29.869995	38.031756	-10411.511328	-13428.481332	-23839.99266
lh       	0.0-0.02 	36515.8664	0.0      	154.1645 	5000.000119	37431.287837	29.738349	38.264744	-10382.866518	-13568.369993	-23951.236511
lh       	0.0-0.03 	36143.2556	0.0      	231.2467 	5000.000089	37431.287868	29.606705	38.492648	-10354.221731	-13708.258554	-24062.480285
lh       	0.0-0.04 	35770.6447	0.0      	308.3289 	4999.999998	37431.287958	29.475061	38.715618	-10325.576938	-13848.147137	-24173.724075
lh       	0.0-0.05 	35398.0338	0.0      	385.4111 	4999.999908	37431.288048	29.343416	38.933798	-10297.171203	-13988.035719	-24285.206922
lh       	0.0-0.06 	35025.4229	0.0      	462.4934 	5000.000106	37431.28785	29.211771	39.147329	-10277.792492	-14127.924381	-24405.716873
lh       	0.0-0.07 	34652.812	0.0      	539.5756 	5000.000016	37431.28794	29.080127	39.356342	-10270.9542	-14267.812964	-24538.767164
lh       	0.0-0.08 	34280.2011	0.0      	616.6578 	4999.999926	37431.28803	28.948483	39.560969	-10275.449814	-14407.701545	-24683.151359
lh       	0.0-0.09 	33907.5903	0.0      	693.7401 	5000.000184	37431.287772	28.816837	39.761336	-10290.180749	-14547.590186	-24837.770935
lh       	0.0-0.1  	33534.9794	0.0      	770.8223 	5000.000094	37431.287863	28.685193	39.957561	-10314.171513	-14687.478769	-25001.650282
lh       	0.0-0.11 	33162.3685	0.0      	847.9045 	5000.000004	37431.287953	28.553549	40.149765	-10346.5656	-14827.367352	-25173.932952
lh       	0.0-0.12 	32789.7576	0.0      	924.9867 	4999.999913	37431.288043	28.421905	40.338058	-10386.613934	-14967.255934	-25353.869868
lh       	0.0-0.13 	32417.1467	0.0      	1002.069 	5000.000112	37431.287845	28.290259	40.522553	-10433.661428	-15107.144596	-25540.806024
lh       	0.0-0.14 	32044.5359	0.0      	1079.1512	5000.000081	37431.287875	28.158615	40.703351	-10487.133835	-15247.033157	-25734.166992
lh       	0.0-0.15 	31671.925	0.0      	1156.2334	4999.999991	37431.287965	28.026971	40.880558	-10546.526301	-15386.921739	-25933.44804
lh       	0.0-0.16 	31299.3141	0.0      	1233.3156	4999.999901	37431.288056	27.895327	41.05427 	-10611.393112	-15526.810323	-26138.203435
lh       	0.0-0.17 	30926.7032	0.0      	1310.3979	5000.000099	37431.287857	27.763681	41.224585	-10681.339237	-15666.698984	-26348.038221
lh       	0.0-0.18 	30554.0923	0.0      	1387.4801	5000.000009	37431.287947	27.632037	41.391593	-10756.012929	-15806.587566	-26562.600495
lh       	0.0-0.19 	30181.4814	0.0      	1464.5623	4999.999919	37431.288038	27.500393	41.555384	-10835.099917	-15946.476149	-26781.576066
lh       	0.0-0.2  	29808.8706	0.0      	1541.6446	5000.000177	37431.28778	27.368747	41.716046	-10918.318195	-16086.364789	-27004.682984
lh       	0.0-0.21 	29436.2597	0.0      	1618.7268	5000.000086	37431.28787	27.237103	41.873659	-11005.41361	-16226.253372	-27231.666982
lh       	0.0-0.22 	29063.6488	0.0      	1695.809 	4999.999996	37431.28796	27.105459	42.028305	-11096.1565	-16366.141954	-27462.298454
lh       	0.0-0.23 	28691.0379	0.0      	1772.8912	4999.999906	37431.28805	26.973815	42.180063	-11190.338473	-16506.030536	-27696.369009
lh       	0.0-0.24 	28318.427	0.0      	1849.9735	5000.000104	37431.287852	26.842169	42.329009	-11287.769908	-16645.919199	-27933.689107
lh       	0.0-0.25 	27945.8162	0.0      	1927.0557	5000.000074	37431.287883	26.710525	42.475215	-11388.27748	-16785.80776	-28174.08524
lh       	0.0-0.26 	27573.2053	0.0      	2004.1379	4999.999984	37431.287973	26.578881	42.618751	-11491.70268	-16925.696343	-28417.399023
lh       	0.0-0.27 	27200.5944	0.0      	2081.2202	5000.000182	37431.287775	26.447235	42.759688	-11597.899932	-17065.585004	-28663.484936
lh       	0.0-0.28 	26827.9835	0.0      	2158.3024	5000.000092	37431.287865	26.315591	42.898089	-11706.735012	-17205.473587	-28912.208599
lh       	0.0-0.29 	26455.3726	0.0      	2235.3846	5000.000001	37431.287955	26.183947	43.034021	-11818.084231	-17345.362169	-29163.4464
