type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	37261.0882	0.0       	0         	5000.0    	37431.28795637	30.00163871	37.79353069	-10440.15611825	-13288.59275258	-23728.74887083
tm        	37006.0882	0.01      	0         	5000.0    	37431.28795637	29.79963506	37.79370958	-10342.2397264	-13288.63162402	-23630.87135042
tm        	36751.0882	0.02      	0         	5000.0    	37431.28795637	29.59350889	37.79424628	-10244.32333455	-13288.74823933	-23533.07157388
tm        	36496.0882	0.03      	0         	5000.0    	37431.28795637	29.38313269	37.7951408	-10146.4069427	-13288.94260143	-23435.34954413
tm        	36241.0882	0.04      	0         	5000.0    	37431.28795637	29.16837366	37.79639316	-10048.49055085	-13289.2147152	-23337.70526605
tm        	35986.0882	0.05      	0         	5000.0    	37431.28795637	28.94909338	37.79800342	-9950.574159	-13289.56458749	-23240.13874648
tm        	35731.0882	0.06      	0         	5000.0    	37431.28795637	28.72514757	37.79997163	-9852.65776715	-13289.99222708	-23142.64999422
tm        	35476.0882	0.07      	0         	5000.0    	37431.28795637	28.49638571	37.80229785	-9754.7413753	-13290.49764471	-23045.23902001
tm        	35221.0882	0.08      	0         	5000.0    	37431.28795637	28.26265078	37.80498218	-9656.82498344	-13291.0808531	-22947.90583655
tm        	34966.0882	0.09      	0         	5000.0    	37431.28795637	28.02377881	37.8080247	-9558.90859159	-13291.74186692	-22850.65045851
tm        	34711.0882	0.1       	0         	5000.0    	37431.28795637	27.77959857	37.81142551	-9460.99219974	-13292.48070277	-22753.47290251
tm        	34456.0882	0.11      	0         	5000.0    	37431.28795637	27.52993114	37.81518474	-9363.07580789	-13293.29737924	-22656.37318713
tm        	34201.0882	0.12      	0         	5000.0    	37431.28795637	27.27458945	37.81930252	-9265.15941604	-13294.1919169	-22559.35133294
tm        	33946.0882	0.13      	0         	5000.0    	37431.28795637	27.01337783	37.82377899	-9167.24302419	-13295.16433826	-22462.40736245
tm        	33691.0882	0.14      	0         	5000.0    	37431.28795637	26.74609153	37.82861431	-9069.32663234	-13296.21466781	-22365.54130014
tm        	33436.0882	0.15      	0         	5000.0    	37431.28795637	26.47251613	37.83380864	-8971.41024049	-13297.46131498	-22268.87155547
tm        	33181.0882	0.16      	0         	5000.0    	37431.28795637	26.19242704	37.83936217	-8873.49384864	-13300.61564798	-22174.10949662
tm        	32926.0882	0.17      	0         	5000.0    	37431.28795637	25.90558881	37.8452751	-8775.57745679	-13306.07294385	-22081.65040063
tm        	32671.0882	0.18      	0         	5000.0    	37431.28795637	25.61175453	37.85154761	-8677.66106493	-13313.64298695	-21991.30405188
tm        	32416.0882	0.19      	0         	5000.0    	37431.28795637	25.31066508	37.85817995	-8579.74467308	-13323.16145074	-21902.90612382
tm        	32161.0882	0.2       	0         	5000.0    	37431.28795637	25.00204839	37.86517234	-8481.82828123	-13334.48520157	-21816.3134828
tm        	31906.0882	0.21      	0         	5000.0    	37431.28795637	24.68561863	37.87252502	-8383.91188938	-13347.48864573	-21731.40053511
tm        	31651.0882	0.22      	0         	5000.0    	37431.28795637	24.36107527	37.88023825	-8285.99549753	-13362.06084957	-21648.0563471
tm        	31396.0882	0.23      	0         	5000.0    	37431.28795637	24.02810223	37.8883123	-8188.07910568	-13378.10324152	-21566.1823472
tm        	31141.0882	0.24      	0         	5000.0    	37431.28795637	23.68636673	37.89674746	-8090.16271383	-13395.52775835	-21485.69047218
tm        	30886.0882	0.25      	0         	5000.0    	37431.28795637	23.33551829	37.90554402	-7992.24632198	-13414.25533484	-21406.50165682
tm        	30631.0882	0.26      	0         	5000.0    	37431.28795637	22.97518745	37.91470229	-7894.3320231	-13434.21466231	-21328.54668541
tm        	30376.0882	0.27      	0         	5000.0    	37431.28795637	22.60498454	37.92422259	-7797.47622282	-13455.34115939	-21252.81738221
tm        	30121.0882	0.28      	0         	5000.0    	37431.28795637	22.22449821	37.93410526	-7702.44280239	-13477.57611252	-21180.0189149
tm        	29866.0882	0.29      	0         	5000.0    	37431.28795637	21.83329396	37.94435065	-7609.08037777	-13500.86595295	-21109.94633073
tm        	29611.0882	0.3       	0         	5000.0    	37431.28795637	21.43091245	37.95495911	-7517.26174992	-13525.16164478	-21042.4233947
tm        	29356.0882	0.31      	0         	5000.0    	37431.28795637	21.0168677	37.96593103	-7426.87889278	-13550.41816368	-20977.29705646
tm        	29101.0882	0.32      	0         	5000.0    	37431.28795637	20.59064517	37.97726678	-7337.8392174	-13576.59405054	-20914.43326794
tm        	28846.0882	0.33      	0         	5000.0    	37431.28795637	20.15169957	37.98896678	-7250.06273564	-13603.65102716	-20853.7137628
tm        	28591.0882	0.34      	0         	5000.0    	37431.28795637	19.6994526	38.00103143	-7163.47987162	-13631.55366383	-20795.03353545
tm        	28336.0882	0.35      	0         	5000.0    	37431.28795637	19.23329033	38.01346116	-7078.02974898	-13660.26909039	-20738.29883937
tm        	28081.0882	0.36      	0         	5000.0    	37431.28795637	18.75256049	38.02625642	-6993.65883329	-13689.76674406	-20683.42557735
tm        	27826.0882	0.37      	0         	5000.0    	37431.28795637	18.25656939	38.03941765	-6910.31984387	-13720.01814846	-20630.33799233
tm        	27571.0882	0.38      	0         	5000.0    	37431.28795637	17.74457857	38.05294534	-6827.9708726	-13750.99671925	-20578.96759186
tm        	27316.0882	0.39      	0         	5000.0    	37431.28795637	17.21580117	38.06683995	-6746.57466414	-13782.67759247	-20529.25225662
tm        	27061.0882	0.4       	0         	5000.0    	37431.28795637	16.66939786	38.08110198	-6666.09802302	-13815.03747258	-20481.1354956
tm        	26806.0882	0.41      	0         	5000.0    	37431.28795637	16.1044724	38.09573196	-6586.51132194	-13848.05449731	-20434.56581925
tm        	26551.0882	0.42      	0         	5000.0    	37431.28795637	15.52006675	38.11073039	-6507.78809136	-13881.70811727	-20389.49620863
tm        	26296.0882	0.43      	0         	5000.0    	37431.28795637	14.92164666	38.12609781	-6429.90467512	-13915.9789883	-20345.88366342
tm        	26041.0882	0.44      	0         	5000.0    	37431.28795637	14.33353935	38.14183478	-6352.83994013	-13950.84887497	-20303.68881511
tm        	25786.0882	0.45      	0         	5000.0    	37431.28795637	13.75777398	38.15794187	-6276.57503072	-13986.30056381	-20262.87559453
tm        	25531.0882	0.46      	0         	5000.0    	37431.28795637	13.19392607	38.17441965	-6201.09316027	-14022.31778518	-20223.41094545
