type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	14948.5882	0.875     	0.0       	5000.0    	37431.28795637	0         	39.19471623	-3753.84582731	-15886.18080982	-19640.02663713
tm        	14799.1023	0.875     	30.9242   	5000.0    	37431.28795637	0         	39.27199918	-3700.47424136	-15936.60004513	-19637.0742865
tm        	14649.6164	0.875     	61.8485   	5000.0    	37431.28795637	0         	39.34874288	-3647.14183912	-15987.04015131	-19634.18199043
tm        	14500.1305	0.875     	92.7727   	5000.0    	37431.28795637	0         	39.42495126	-3593.84955427	-16037.50095873	-19631.350513
tm        	14350.6447	0.875     	123.6969  	5000.0    	37431.28795637	0         	39.50062826	-3540.59836008	-16087.9823002	-19628.58066028
tm        	14201.1588	0.875     	154.6212  	5000.0    	37431.28795637	0         	39.5757778	-3487.38927188	-16138.48401089	-19625.87328277
tm        	14051.6729	0.875     	185.5454  	5000.0    	37431.28795637	0         	39.65040382	-3434.22334974	-16189.00592825	-19623.22927798
tm        	13902.187 	0.875     	216.4696  	5000.0    	37431.28795637	0         	39.72451026	-3381.10170137	-16239.54789201	-19620.64959338
tm        	13752.7011	0.875     	247.3938  	5000.0    	37431.28795637	0         	39.79810105	-3328.02548532	-16290.10974412	-19618.13522944
tm        	13603.2152	0.875     	278.3181  	5000.0    	37431.28795637	0         	39.87118011	-3274.99591441	-16340.69132869	-19615.6872431
tm        	13453.7294	0.875     	309.2423  	5000.0    	37431.28795637	0         	39.94375138	-3222.01425951	-16391.29249195	-19613.30675146
tm        	13304.2435	0.875     	340.1665  	5000.0    	37431.28795637	0         	40.01581877	-3169.08185364	-16441.91308225	-19610.9949359
tm        	13154.7576	0.875     	371.0908  	5000.0    	37431.28795637	0         	40.08738618	-3116.2000965	-16492.55294995	-19608.75304645
tm        	13005.2717	0.875     	402.015   	5000.0    	37431.28795637	0         	40.15845752	-3063.37045944	-16543.21194744	-19606.58240688
tm        	12855.7858	0.875     	432.9392  	5000.0    	37431.28795637	0         	40.22903667	-3010.59449092	-16593.88992907	-19604.48441999
tm        	12706.3   	0.875     	463.8635  	5000.0    	37431.28795637	0         	40.2991275	-2957.8738225	-16644.58675112	-19602.46057362
tm        	12556.8141	0.875     	494.7877  	5000.0    	37431.28795637	0         	40.36873389	-2905.21017554	-16695.30227176	-19600.5124473
tm        	12407.3282	0.875     	525.7119  	5000.0    	37431.28795637	0         	40.43785967	-2852.60536858	-16746.03635103	-19598.64171961
tm        	12257.8423	0.875     	556.6361  	5000.0    	37431.28795637	0         	40.50650868	-2800.06132551	-16796.78885078	-19596.85017629
tm        	12108.3564	0.875     	587.5604  	5000.0    	37431.28795637	0         	40.57468473	-2747.58008483	-16847.55963464	-19595.13971947
tm        	11958.8705	0.875     	618.4846  	5000.0    	37431.28795637	0         	40.64239163	-2695.16380974	-16898.34856802	-19593.51237777
tm        	11809.3847	0.875     	649.4088  	5000.0    	37431.28795637	0         	40.70963315	-2642.81479981	-16949.15551805	-19591.97031785
tm        	11659.8988	0.875     	680.3331  	5000.0    	37431.28795637	0         	40.77641306	-2590.53550374	-16999.98035351	-19590.51585725
tm        	11510.4129	0.875     	711.2573  	5000.0    	37431.28795637	0         	40.8427351	-2538.32853413	-17050.8229449	-19589.15147903
tm        	11360.927 	0.875     	742.1815  	5000.0    	37431.28795637	0         	40.90860299	-2486.19668399	-17101.68316431	-19587.8798483
tm        	11211.4411	0.875     	773.1058  	5000.0    	37431.28795637	0         	40.97402044	-2434.14294565	-17152.56088543	-19586.70383108
tm        	11061.9553	0.875     	804.03    	5000.0    	37431.28795637	0         	41.03899113	-2382.1705324	-17203.45598355	-19585.62651595
tm        	10912.4694	0.875     	834.9542  	5000.0    	37431.28795637	0         	41.10351872	-2330.28290329	-17254.36833547	-19584.65123876
tm        	10762.9835	0.875     	865.8785  	5000.0    	37431.28795637	0         	41.16760685	-2278.48379195	-17305.29781954	-19583.78161148
tm        	10613.4976	0.875     	896.8027  	5000.0    	37431.28795637	0         	41.23125914	-2226.77723984	-17356.24431556	-19583.0215554
tm        	10464.0117	0.875     	927.7269  	5000.0    	37431.28795637	0         	41.29447918	-2175.16763536	-17407.20770482	-19582.37534018
tm        	10314.5258	0.875     	958.6511  	5000.0    	37431.28795637	0         	41.35727054	-2123.65975964	-17458.18787005	-19581.8476297
tm        	10165.04  	0.875     	989.5754  	5000.0    	37431.28795637	0         	41.41963677	-2072.25884101	-17509.18469539	-19581.4435364
tm        	10015.5541	0.875     	1020.4996 	5000.0    	37431.28795637	0         	41.48158139	-2020.97061984	-17560.19806635	-19581.16868618
tm        	9866.0682 	0.875     	1051.4238 	5000.0    	37431.28795637	0         	41.54310791	-1969.80142673	-17611.22786981	-19581.02929654
tm        	9716.5823 	0.875     	1082.3481 	5000.0    	37431.28795637	0         	41.60421979	-1918.75827754	-17662.273994	-19581.03227154
tm        	9567.0964 	0.875     	1113.2723 	5000.0    	37431.28795637	0         	41.6649205	-1867.84899005	-17713.33632848	-19581.18531854
tm        	9417.6106 	0.875     	1144.1965 	5000.0    	37431.28795637	0         	41.72521345	-1817.08232902	-17764.41476408	-19581.4970931
tm        	9268.1247 	0.875     	1175.1208 	5000.0    	37431.28795637	0         	41.78510204	-1766.4681887	-17815.50919291	-19581.97738161
tm        	9118.6388 	0.875     	1206.045  	5000.0    	37431.28795637	0         	41.84458966	-1716.0178261	-17866.61950834	-19582.63733444
tm        	8969.1529 	0.875     	1236.9692 	5000.0    	37431.28795637	0         	41.90367966	-1665.74416411	-17917.74560498	-19583.48976908
tm        	8819.667  	0.875     	1267.8934 	5000.0    	37431.28795637	0         	41.96237536	-1615.66219319	-17968.88737863	-19584.54957182
tm        	8670.1811 	0.875     	1298.8177 	5000.0    	37431.28795637	0         	42.02068006	-1565.78951607	-18020.04472629	-19585.83424236
tm        	8520.6953 	0.875     	1329.7419 	5000.0    	37431.28795637	0         	42.07859703	-1520.50297883	-18071.21754614	-19591.72052497
tm        	8371.2094 	0.875     	1360.6661 	5000.0    	37431.28795637	0         	42.13612954	-1484.81793138	-18122.4057375	-19607.22366888
tm        	8221.7235 	0.875     	1391.5904 	5000.0    	37431.28795637	0         	42.19328079	-1456.2303513	-18173.60920083	-19629.83955213
tm        	8072.2376 	0.875     	1422.5146 	5000.0    	37431.28795637	0         	42.250054 	-1433.06511675	-18224.82783771	-19657.89295446
tm        	7922.7517 	0.875     	1453.4388 	5000.0    	37431.28795637	0         	42.30645233	-1414.23931258	-18276.06155081	-19690.30086339
tm        	7773.2659 	0.875     	1484.3631 	5000.0    	37431.28795637	0         	42.36247893	-1399.08662311	-18327.31024389	-19726.396867
