type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	SB_Risk%  	B_Risk%   	SO_Risk%  	O_Risk%   	SB_VaR    	B_VaR     	SO_VaR    	O_VaR     	T_VaR     	SB_CVaR   	B_CVaR    	SO_CVaR   	O_CVaR    	ST_CVaR   	T_CVaR    
ls        	0.0-0.0   	37440.272 	0.0       	0.0       	5106.90467225	5106.90467225	29.558    	29.54219291	0.0       	0         	-10458.07701938	-10447.08906727	-1812.19168641	-1813.01740124	-12260.10646851	-11029.47206377	-11012.53365707	-1882.56358221	-1882.40573047	-12912.03564598	-12894.93938755
lh        	0.0-0.01  	37065.8693	0.0       	77.4529   	5106.90467225	5106.90467225	29.605    	29.40991531	0.0       	0         	-10389.24870244	-10418.30652234	-1952.89870543	-1953.57870828	-12371.88523062	-10984.81253033	-11020.84507502	-2022.51401	-2026.19346608	-13007.32654033	-13047.0385411
lh        	0.0-0.02  	36691.4666	0.0       	154.9058  	5106.90467225	5106.90467225	29.381    	29.27763771	0.0       	0         	-10369.53647604	-10389.52397741	-2094.7139382	-2094.14001533	-12483.66399273	-11012.7655978	-11040.14359334	-2169.07478494	-2169.98120169	-13181.84038274	-13210.12479503
lh        	0.0-0.03  	36317.0639	0.0       	232.3587  	5106.90467225	5106.90467225	29.311    	29.14536011	0.0       	0         	-10329.60012126	-10360.74143248	-2236.69670329	-2234.70132237	-12595.44275485	-11056.46717536	-11070.47705633	-2315.63308038	-2313.76893729	-13372.10025575	-13384.24599362
lh        	0.0-0.04  	35942.6612	0.0       	309.8116  	5106.90467225	5106.90467225	28.783    	29.01308251	0.0       	0         	-10333.36463789	-10331.95888755	-2373.06682554	-2375.26262941	-12707.22151696	-11111.5394288	-11111.87228139	-2454.64555629	-2457.5566729	-13566.18498509	-13569.42895429
lh        	0.0-0.05  	35568.2584	0.0       	387.2645  	5106.90467225	5106.90467225	29.133    	28.88080491	0.0       	0         	-10298.56349219	-10303.17634262	-2517.50638514	-2515.82393646	-12819.00027907	-11160.69850059	-11164.34614925	-2604.62556385	-2601.34440851	-13765.32406444	-13765.69055776
lh        	0.0-0.06  	35193.8557	0.0       	464.7174  	5106.90467225	5106.90467225	28.762    	28.74852731	0.0       	0         	-10251.04074103	-10280.31496454	-2657.76680319	-2656.3852435	-12936.70020804	-11198.90135872	-11227.83746498	-2747.18349487	-2745.13214411	-13946.08485359	-13972.96960909
lh        	0.0-0.07  	34819.453 	0.0       	542.1703  	5106.90467225	5106.90467225	28.751    	28.61624972	0.0       	0         	-10244.7969448	-10270.54566621	-2800.73767645	-2796.94655054	-13067.49221676	-11274.14856763	-11301.44818426	-2889.80335952	-2888.91987972	-14163.95192715	-14190.36806398
lh        	0.0-0.08  	34445.0503	0.0       	619.6232  	5106.90467225	5106.90467225	28.328    	28.48397212	0.0       	0         	-10266.80358921	-10272.60824747	-2935.23168472	-2937.50785759	-13210.11610506	-11390.30654764	-11383.9437139	-3028.78102637	-3032.70761533	-14419.08757401	-14416.65132923
lh        	0.0-0.09  	34070.6476	0.0       	697.0762  	5106.90467225	5106.90467225	28.083    	28.35169452	0.0       	0         	-10293.05564773	-10285.31909015	-3090.18016777	-3078.06916463	-13363.38825478	-11508.31561642	-11474.29351745	-3190.28638607	-3176.49535094	-14698.60200249	-14650.78886839
lh        	0.0-0.1   	33696.2448	0.0       	774.5291  	5106.90467225	5106.90467225	28.333    	28.21941692	0.0       	0         	-10340.63061921	-10307.63305617	-3205.87433459	-3218.63047167	-13526.26352784	-11594.49266593	-11571.63602559	-3309.74715284	-3320.28308654	-14904.23981877	-14891.91911214
lh        	0.0-0.11  	33321.8421	0.0       	851.982   	5106.90467225	5106.90467225	28.219    	28.08713932	0.0       	0         	-10355.81336923	-10338.63751074	-3360.55793588	-3359.19177872	-13697.82928945	-11689.7437902	-11675.24653726	-3463.14216659	-3464.07082215	-15152.88595678	-15139.31735941
lh        	0.0-0.12  	32947.4394	0.0       	929.4349  	5106.90467225	5106.90467225	27.976    	27.95486172	0.0       	0         	-10351.5988429	-10377.53829382	-3490.6382213	-3499.75308576	-13877.29137958	-11779.24077304	-11784.51106881	-3597.86125837	-3607.85855776	-15377.1020314	-15392.36962657
lh        	0.0-0.13  	32573.0367	0.0       	1006.8878 	5106.90467225	5106.90467225	28.116    	27.82258412	0.0       	0         	-10440.038693	-10423.64396521	-3650.67927688	-3640.3143928	-14063.95835801	-11940.9030362	-11898.9055125	-3762.59195345	-3751.64629336	-15703.49498965	-15650.55180587
lh        	0.0-0.14  	32198.634 	0.0       	1084.3407 	5106.90467225	5106.90467225	27.897    	27.69030652	0.0       	0         	-10490.91995576	-10476.35090772	-3787.53544889	-3780.87569985	-14257.22660757	-12004.42794209	-12017.97914962	-3903.34538553	-3895.43402897	-15907.77332763	-15913.41317859
lh        	0.0-0.15  	31824.2312	0.0       	1161.7936 	5106.90467225	5106.90467225	27.178    	27.55802892	0.0       	0         	-10541.9071176	-10535.13018237	-3927.41628652	-3921.43700689	-14456.56718925	-12118.8382563	-12141.34160941	-4045.89486315	-4039.22176458	-16164.73311946	-16180.56337399
lh        	0.0-0.16  	31449.8285	0.0       	1239.2465 	5106.90467225	5106.90467225	27.357    	27.42575132	0.0       	0         	-10588.11649199	-10599.5162971	-4050.21503004	-4061.99831393	-14661.51461103	-12269.13383306	-12268.65251455	-4168.29567889	-4183.00950018	-16437.42951195	-16451.66201474
lh        	0.0-0.17  	31075.4258	0.0       	1316.6994 	5106.90467225	5106.90467225	27.28     	27.29347373	0.0       	0         	-10699.40085911	-10669.09775741	-4196.81674724	-4202.55962098	-14871.65737839	-12388.67323524	-12399.61321203	-4320.0174674	-4326.79723579	-16708.69070263	-16726.41044782
lh        	0.0-0.18  	30701.0231	0.0       	1394.1523 	5106.90467225	5106.90467225	27.193    	27.16119613	0.0       	0         	-10720.4234228	-10743.50916896	-4347.1937443	-4343.12092802	-15086.63009698	-12521.81122543	-12533.96012459	-4475.12013402	-4470.5849714	-16996.93135945	-17004.54509599
lh        	0.0-0.19  	30326.6204	0.0       	1471.6052 	5106.90467225	5106.90467225	27.269    	27.02891853	0.0       	0         	-10780.6723141	-10822.42465008	-4470.33229734	-4483.68223506	-15306.10688514	-12641.40669508	-12671.45936679	-4601.47018839	-4614.37270701	-17242.87688347	-17285.83207379
lh        	0.0-0.2   	29952.2176	0.0       	1549.0581 	5106.90467225	5106.90467225	26.809    	26.89664093	0.0       	0         	-10932.38976443	-10905.55233199	-4627.73634777	-4624.24354211	-15529.7958741	-12806.82746797	-12811.90235331	-4761.71843644	-4758.16044261	-17568.54590441	-17570.06279593
lh        	0.0-0.21  	29577.8149	0.0       	1626.511  	5106.90467225	5106.90467225	26.67     	26.76436333	0.0       	0         	-10944.56335376	-10992.62975568	-4762.80395804	-4764.80484915	-15757.43460483	-12873.605936	-12955.10219123	-4903.45695243	-4901.94817822	-17777.06288844	-17857.05036945
lh        	0.0-0.22  	29203.4122	0.0       	1703.9639 	5106.90467225	5106.90467225	26.984    	26.63208573	1.601     	1.58487678	-11055.80806881	-11083.42000601	-4897.62797635	-4905.36615619	-15988.7861622	-13085.79021294	-13100.89069562	-5042.24084615	-5045.73591383	-18128.03105908	-18146.62660944
lh        	0.0-0.23  	28829.0095	0.0       	1781.4168 	5106.90467225	5106.90467225	26.21     	26.49980813	4.033     	4.01165013	-11166.08967975	-11177.70845195	-5036.98850982	-5045.92746324	-16223.63591518	-13233.40933117	-13249.11590462	-5180.41603177	-5189.52364943	-18413.82536294	-18438.63955405
lh        	0.0-0.24  	28454.6068	0.0       	1858.8697 	5106.90467225	5106.90467225	26.502    	26.36753053	6.181     	6.23619237	-11305.93931925	-11275.29998621	-5194.18933293	-5186.48877028	-16461.78875649	-13406.28279086	-13399.63999717	-5343.13056478	-5333.31138504	-18749.41335564	-18732.95138221
lh        	0.0-0.25  	28080.204 	0.0       	1936.3227 	5106.90467225	5106.90467225	26.292    	26.23525293	8.155     	8.28277123	-11425.96904592	-11376.01667762	-5319.89097806	-5327.05007732	-16703.06675494	-13608.12170194	-13552.33753773	-5474.19019306	-5477.09912065	-19082.311895	-19029.43665837
lh        	0.0-0.26  	27705.8013	0.0       	2013.7756 	5106.90467225	5106.90467225	25.858    	26.10297533	10.224    	10.17192095	-11519.56780884	-11479.69576561	-5454.05675282	-5467.61138437	-16947.30714998	-13723.5800083	-13707.09398821	-5606.22290042	-5620.88685625	-19329.80290872	-19327.98084446
lh        	0.0-0.27  	27331.3986	0.0       	2091.2285 	5106.90467225	5106.90467225	25.934    	25.97069774	11.926    	11.92113366	-11598.50062733	-11586.1879398	-5595.76650459	-5608.1726914	-17194.3606312	-13916.13829885	-13863.80443974	-5753.17331437	-5764.67459186	-19669.31161322	-19628.47903161
lh        	0.0-0.28  	26956.9959	0.0       	2168.6814 	5106.90467225	5106.90467225	25.955    	25.83842014	13.534    	13.54540259	-11643.19319241	-11695.35585757	-5736.32037122	-5748.73399844	-17444.08985601	-13963.28066844	-14022.37252619	-5899.08634054	-5908.46232747	-19862.36700898	-19930.83485366
lh        	0.0-0.29  	26582.5932	0.0       	2246.1343 	5106.90467225	5106.90467225	25.755    	25.70614254	15.1      	15.05765299	-11676.34198377	-11807.07286191	-5867.53819613	-5889.29530549	-17696.36816739	-14039.05934579	-14182.70948891	-6026.74966253	-6052.25006307	-20065.80900832	-20234.95955199
lh        	0.0-0.3   	26208.1904	0.0       	2323.5872 	5106.90467225	5106.90467225	25.476    	25.57386494	16.39     	16.46908668	-11905.00887194	-11921.2218677	-5999.14044784	-6029.85661253	-17951.07848023	-14295.20178067	-14344.73336814	-6166.15033089	-6196.03779868	-20461.35211157	-20540.77116682
lh        	0.0-0.31  	25833.7877	0.0       	2401.0401 	5106.90467225	5106.90467225	25.681    	25.44158734	17.855    	17.78946014	-12025.03434364	-12037.69439089	-6181.21309702	-6170.41791957	-18208.11231046	-14496.10954945	-14508.36830071	-6349.60393077	-6339.82553429	-20845.71348022	-20848.193835
