type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     	B_CVaR    	O_CVaR    	T_CVaR    
ls        	0.0-0.0   	37440.272 	0.0       	0.0       	5106.90467225	5106.90467225	29.54219291	0         	-10447.08906727	-1813.01740124	-12260.10646851	-11012.53365707	-1882.40573047	-12894.93938755
lh        	0.0-0.01  	37065.8693	0.0       	77.4529   	5106.90467225	5106.90467225	29.40991531	0         	-10418.30652234	-1953.57870828	-12371.88523062	-11020.84507502	-2026.19346608	-13047.0385411
lh        	0.0-0.02  	36691.4666	0.0       	154.9058  	5106.90467225	5106.90467225	29.27763771	0         	-10389.52397741	-2094.14001533	-12483.66399273	-11040.14359334	-2169.98120169	-13210.12479503
lh        	0.0-0.03  	36317.0639	0.0       	232.3587  	5106.90467225	5106.90467225	29.14536011	0         	-10360.74143248	-2234.70132237	-12595.44275485	-11070.47705632	-2313.76893729	-13384.24599362
lh        	0.0-0.04  	35942.6612	0.0       	309.8116  	5106.90467225	5106.90467225	29.01308251	0         	-10331.95888755	-2375.26262941	-12707.22151696	-11111.87228139	-2457.5566729	-13569.42895429
lh        	0.0-0.05  	35568.2584	0.0       	387.2645  	5106.90467225	5106.90467225	28.88080491	0         	-10303.17634262	-2515.82393646	-12819.00027907	-11164.34614925	-2601.34440851	-13765.69055776
lh        	0.0-0.06  	35193.8557	0.0       	464.7174  	5106.90467225	5106.90467225	28.74852731	0         	-10280.31496454	-2656.3852435	-12936.70020804	-11227.83746498	-2745.13214412	-13972.96960909
lh        	0.0-0.07  	34819.453 	0.0       	542.1703  	5106.90467225	5106.90467225	28.61624972	0         	-10270.54566621	-2796.94655054	-13067.49221676	-11301.44818426	-2888.91987972	-14190.36806398
lh        	0.0-0.08  	34445.0503	0.0       	619.6232  	5106.90467225	5106.90467225	28.48397212	0         	-10272.60824747	-2937.50785759	-13210.11610506	-11383.9437139	-3032.70761533	-14416.65132923
lh        	0.0-0.09  	34070.6476	0.0       	697.0762  	5106.90467225	5106.90467225	28.35169452	0         	-10285.31909015	-3078.06916463	-13363.38825478	-11474.29351745	-3176.49535094	-14650.78886839
lh        	0.0-0.1   	33696.2448	0.0       	774.5291  	5106.90467225	5106.90467225	28.21941692	0         	-10307.63305617	-3218.63047167	-13526.26352784	-11571.63602559	-3320.28308654	-14891.91911213
lh        	0.0-0.11  	33321.8421	0.0       	851.982   	5106.90467225	5106.90467225	28.08713932	0         	-10338.63751074	-3359.19177872	-13697.82928945	-11675.24653726	-3464.07082215	-15139.31735941
lh        	0.0-0.12  	32947.4394	0.0       	929.4349  	5106.90467225	5106.90467225	27.95486172	0         	-10377.53829382	-3499.75308576	-13877.29137958	-11784.51106881	-3607.85855776	-15392.36962657
lh        	0.0-0.13  	32573.0367	0.0       	1006.8878 	5106.90467225	5106.90467225	27.82258412	0         	-10423.64396521	-3640.3143928	-14063.95835801	-11898.9055125	-3751.64629336	-15650.55180586
lh        	0.0-0.14  	32198.634 	0.0       	1084.3407 	5106.90467225	5106.90467225	27.69030652	0         	-10476.35090772	-3780.87569985	-14257.22660757	-12017.97914961	-3895.43402897	-15913.41317859
lh        	0.0-0.15  	31824.2312	0.0       	1161.7936 	5106.90467225	5106.90467225	27.55802892	0         	-10535.13018237	-3921.43700689	-14456.56718925	-12141.34160941	-4039.22176458	-16180.56337399
lh        	0.0-0.16  	31449.8285	0.0       	1239.2465 	5106.90467225	5106.90467225	27.42575132	0         	-10599.5162971	-4061.99831393	-14661.51461103	-12268.65251455	-4183.00950018	-16451.66201474
lh        	0.0-0.17  	31075.4258	0.0       	1316.6994 	5106.90467225	5106.90467225	27.29347373	0         	-10669.09775741	-4202.55962098	-14871.65737839	-12399.61321203	-4326.79723579	-16726.41044782
