type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_CVaR    	O_CVaR    	T_CVaR    
tm        	37440.272 	0.0       	0         	5106.90467225	5106.90467225	29.54219291	0         	-11012.53365707	-1882.40573047	-12894.93938755
tm        	37437.722 	0.0001    	0         	5106.90467225	5106.90467225	29.54014692	0         	-11011.42462948	-1882.40575836	-12893.83038784
tm        	37435.172 	0.0002    	0         	5106.90467225	5106.90467225	29.53810053	0         	-11010.31565412	-1882.40584204	-12892.72149616
tm        	37432.622 	0.0003    	0         	5106.90467225	5106.90467225	29.53605373	0         	-11009.20673106	-1882.40598149	-12891.61271255
tm        	37430.072 	0.0004    	0         	5106.90467225	5106.90467225	29.53400651	0         	-11008.09786037	-1882.40617673	-12890.50403709
tm        	37427.522 	0.0005    	0         	5106.90467225	5106.90467225	29.53195889	0         	-11006.98904211	-1882.40642774	-12889.39546985
tm        	37424.972 	0.0006    	0         	5106.90467225	5106.90467225	29.52991086	0         	-11005.88027635	-1882.40673454	-12888.28701089
tm        	37422.422 	0.0007    	0         	5106.90467225	5106.90467225	29.52786241	0         	-11004.77156316	-1882.40709712	-12887.17866028
tm        	37419.872 	0.0008    	0         	5106.90467225	5106.90467225	29.52581356	0         	-11003.6629026	-1882.40751548	-12886.07041809
tm        	37417.322 	0.0009    	0         	5106.90467225	5106.90467225	29.5237643	0         	-11002.55429475	-1882.40798963	-12884.96228438
tm        	37414.772 	0.001     	0         	5106.90467225	5106.90467225	29.52171462	0         	-11001.44573966	-1882.4085317	-12883.85427137
tm        	37412.222 	0.0011    	0         	5106.90467225	5106.90467225	29.51966454	0         	-11000.33723741	-1882.41017719	-12882.7474146
tm        	37409.672 	0.0012    	0         	5106.90467225	5106.90467225	29.51761405	0         	-10999.22878806	-1882.41343044	-12881.6422185
tm        	37407.122 	0.0013    	0         	5106.90467225	5106.90467225	29.51556314	0         	-10998.12039168	-1882.41810113	-12880.53849281
tm        	37404.572 	0.0014    	0         	5106.90467225	5106.90467225	29.51351183	0         	-10997.01204834	-1882.42403492	-12879.43608326
tm        	37402.022 	0.0015    	0         	5106.90467225	5106.90467225	29.5114601	0         	-10995.9037581	-1882.4311046	-12878.3348627
tm        	37399.472 	0.0016    	0         	5106.90467225	5106.90467225	29.50940796	0         	-10994.79552104	-1882.43920384	-12877.23472487
tm        	37396.922 	0.0017    	0         	5106.90467225	5106.90467225	29.50735541	0         	-10993.68733722	-1882.44824269	-12876.13557991
tm        	37394.372 	0.0018    	0         	5106.90467225	5106.90467225	29.50530245	0         	-10992.5792067	-1882.45814427	-12875.03735097
tm        	37391.822 	0.0019    	0         	5106.90467225	5106.90467225	29.50324908	0         	-10991.47112957	-1882.4688422	-12873.93997177
tm        	37389.272 	0.002     	0         	5106.90467225	5106.90467225	29.5011953	0         	-10990.36310588	-1882.48030009	-12872.84340598
tm        	37386.722 	0.0021    	0         	5106.90467225	5106.90467225	29.49914111	0         	-10989.25513571	-1882.493057	-12871.74819271
tm        	37384.172 	0.0022    	0         	5106.90467225	5106.90467225	29.4970865	0         	-10988.14721912	-1882.50728936	-12870.65450848
tm        	37381.622 	0.0023    	0         	5106.90467225	5106.90467225	29.49503148	0         	-10987.03935618	-1882.52290151	-12869.56225769
tm        	37379.072 	0.0024    	0         	5106.90467225	5106.90467225	29.49297605	0         	-10985.93154697	-1882.53980803	-12868.471355
tm        	37376.522 	0.0025    	0         	5106.90467225	5106.90467225	29.49092021	0         	-10984.82379154	-1882.55793234	-12867.38172389
tm        	37373.972 	0.0026    	0         	5106.90467225	5106.90467225	29.48886396	0         	-10983.71608998	-1882.57720543	-12866.29329541
tm        	37371.422 	0.0027    	0         	5106.90467225	5106.90467225	29.48680729	0         	-10982.60844234	-1882.59756485	-12865.20600719
tm        	37368.872 	0.0028    	0         	5106.90467225	5106.90467225	29.48475021	0         	-10981.5008487	-1882.61895389	-12864.11980259
tm        	37366.322 	0.0029    	0         	5106.90467225	5106.90467225	29.48269272	0         	-10980.39330913	-1882.64132084	-12863.03462998
tm        	37363.772 	0.003     	0         	5106.90467225	5106.90467225	29.48063481	0         	-10979.2858237	-1882.66464626	-12861.95046996
tm        	37361.222 	0.0031    	0         	5106.90467225	5106.90467225	29.4785765	0         	-10978.17839248	-1882.6893078	-12860.86770027
tm        	37358.672 	0.0032    	0         	5106.90467225	5106.90467225	29.47651777	0         	-10977.07101553	-1882.71538575	-12859.78640128
tm        	37356.122 	0.0033    	0         	5106.90467225	5106.90467225	29.47445862	0         	-10975.96369294	-1882.74281687	-12858.7065098
tm        	37353.572 	0.0034    	0         	5106.90467225	5106.90467225	29.47239907	0         	-10974.85642476	-1882.77154267	-12857.62796743
tm        	37351.022 	0.0035    	0         	5106.90467225	5106.90467225	29.4703391	0         	-10973.74921107	-1882.80150894	-12856.55072001
tm        	37348.472 	0.0036    	0         	5106.90467225	5106.90467225	29.46827871	0         	-10972.64205194	-1882.8326653	-12855.47471724
tm        	37345.922 	0.0037    	0         	5106.90467225	5106.90467225	29.46621792	0         	-10971.53494744	-1882.86496482	-12854.39991226
tm        	37343.372 	0.0038    	0         	5106.90467225	5106.90467225	29.4641567	0         	-10970.42789764	-1882.89836375	-12853.32626139
tm        	37340.822 	0.0039    	0         	5106.90467225	5106.90467225	29.46209508	0         	-10969.32090261	-1882.93282118	-12852.25372379
tm        	37338.272 	0.004     	0         	5106.90467225	5106.90467225	29.46003304	0         	-10968.21396243	-1882.96833074	-12851.18229317
tm        	37335.722 	0.0041    	0         	5106.90467225	5106.90467225	29.45797059	0         	-10967.10707716	-1883.00518409	-12850.11226125
tm        	37333.172 	0.0042    	0         	5106.90467225	5106.90467225	29.45590772	0         	-10966.00024688	-1883.04342074	-12849.04366761
tm        	37330.622 	0.0043    	0         	5106.90467225	5106.90467225	29.45384444	0         	-10964.89347165	-1883.08299358	-12847.97646523
tm        	37328.072 	0.0044    	0         	5106.90467225	5106.90467225	29.45178074	0         	-10963.78675156	-1883.12385826	-12846.91060982
tm        	37325.522 	0.0045    	0         	5106.90467225	5106.90467225	29.44971663	0         	-10962.68008666	-1883.16597292	-12845.84605959
tm        	37322.972 	0.0046    	0         	5106.90467225	5106.90467225	29.44765211	0         	-10961.57347704	-1883.209298	-12844.78277505
tm        	37320.422 	0.0047    	0         	5106.90467225	5106.90467225	29.44558717	0         	-10960.46692277	-1883.25379609	-12843.72071886
tm        	37317.872 	0.0048    	0         	5106.90467225	5106.90467225	29.44352181	0         	-10959.36042391	-1883.29943173	-12842.65985564
tm        	37315.322 	0.0049    	0         	5106.90467225	5106.90467225	29.44145604	0         	-10958.25398055	-1883.34617133	-12841.60015187
tm        	37312.772 	0.005     	0         	5106.90467225	5106.90467225	29.43938986	0         	-10957.14759274	-1883.39401691	-12840.54160965
tm        	37310.222 	0.0051    	0         	5106.90467225	5106.90467225	29.43732326	0         	-10956.04126058	-1883.44320508	-12839.48446566
tm        	37307.672 	0.0052    	0         	5106.90467225	5106.90467225	29.43525624	0         	-10954.93498412	-1883.49375555	-12838.42873966
tm        	37305.122 	0.0053    	0         	5106.90467225	5106.90467225	29.43318881	0         	-10953.82876344	-1883.54563085	-12837.37439429
tm        	37302.572 	0.0054    	0         	5106.90467225	5106.90467225	29.43112096	0         	-10952.72259862	-1883.59879527	-12836.32139389
tm        	37300.022 	0.0055    	0         	5106.90467225	5106.90467225	29.4290527	0         	-10951.61648972	-1883.65321476	-12835.26970448
tm        	37297.472 	0.0056    	0         	5106.90467225	5106.90467225	29.42698402	0         	-10950.51043683	-1883.70885677	-12834.2192936
tm        	37294.922 	0.0057    	0         	5106.90467225	5106.90467225	29.42491492	0         	-10949.40444002	-1883.76569024	-12833.17013026
