type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	37261.0882	0.0       	0         	5000.0    	5213.80934449	30.00163871	0         	-5440.15611825	3362.83939793	-2077.31672033
tm        	37006.0882	0.01      	0         	5000.0    	5213.80934449	29.79963506	0         	-5342.2397264	3362.56030023	-1979.67942617
tm        	36751.0882	0.02      	0         	5000.0    	5213.80934449	29.59350889	0         	-5244.32333455	3361.72264548	-1882.60068907
tm        	36496.0882	0.03      	0         	5000.0    	5213.80934449	29.38313269	0         	-5146.4069427	3353.57046647	-1792.83647622
tm        	36241.0882	0.04      	0         	5000.0    	5213.80934449	29.16837366	0         	-5048.49055085	3334.20428004	-1714.28627081
tm        	35986.0882	0.05      	0         	5000.0    	5213.80934449	28.94909338	0         	-4950.574159	3307.39085637	-1643.18330263
tm        	35731.0882	0.06      	0         	5000.0    	5213.80934449	28.72514757	0         	-4852.65776715	3275.08659445	-1577.57117269
tm        	35476.0882	0.07      	0         	5000.0    	5213.80934449	28.49638571	0         	-4754.7413753	3238.46030144	-1516.28107385
tm        	35221.0882	0.08      	0         	5000.0    	5213.80934449	28.26265078	0         	-4656.82498344	3198.27637628	-1458.54860716
tm        	34966.0882	0.09      	0         	5000.0    	5213.80934449	28.02377881	0         	-4558.90859159	3155.06656667	-1403.84202493
tm        	34711.0882	0.1       	0         	5000.0    	5213.80934449	27.77959857	0         	-4460.99219974	3109.21758073	-1351.77461901
tm        	34456.0882	0.11      	0         	5000.0    	5213.80934449	27.52993114	0         	-4363.07580789	3061.02007567	-1302.05573222
tm        	34201.0882	0.12      	0         	5000.0    	5213.80934449	27.27458945	0         	-4265.15941604	3010.6980015	-1254.46141455
tm        	33946.0882	0.13      	0         	5000.0    	5213.80934449	27.01337783	0         	-4167.24302419	2958.42714179	-1208.8158824
tm        	33691.0882	0.14      	0         	5000.0    	5213.80934449	26.74609153	0         	-4069.32663234	2904.34733517	-1164.97929717
tm        	33436.0882	0.15      	0         	5000.0    	5213.80934449	26.47251613	0         	-3971.41024049	2848.57080909	-1122.8394314
tm        	33181.0882	0.16      	0         	5000.0    	5213.80934449	26.19242704	0         	-3873.49384864	2791.18801803	-1082.3058306
tm        	32926.0882	0.17      	0         	5000.0    	5213.80934449	25.90558881	0         	-3775.57745679	2732.27181952	-1043.30563726
tm        	32671.0882	0.18      	0         	5000.0    	5213.80934449	25.61175453	0         	-3677.66106493	2671.88050568	-1005.78055926
tm        	32416.0882	0.19      	0         	5000.0    	5213.80934449	25.31066508	0         	-3579.74467308	2610.06002124	-969.68465185
tm        	32161.0882	0.2       	0         	5000.0    	5213.80934449	25.00204839	0         	-3481.82828123	2546.8455849	-934.98269634
tm        	31906.0882	0.21      	0         	5000.0    	5213.80934449	24.68561863	0         	-3383.91188938	2482.26285771	-901.64903167
tm        	31651.0882	0.22      	0         	5000.0    	5213.80934449	24.36107527	0         	-3285.99549753	2416.32875405	-869.66674348
tm        	31396.0882	0.23      	0         	5000.0    	5213.80934449	24.02810223	0         	-3188.07910568	2349.05195717	-839.02714851
tm        	31141.0882	0.24      	0         	5000.0    	5213.80934449	23.68636673	0         	-3090.16271383	2280.43317715	-809.72953668
tm        	30886.0882	0.25      	0         	5000.0    	5213.80934449	23.33551829	0         	-2992.24632198	2210.46516922	-781.78115275
tm        	30631.0882	0.26      	0         	5000.0    	5213.80934449	22.97518745	0         	-2894.3320231	2139.13251377	-755.19950934
