type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	28522.1712	0.3427    	0.0       	5000.0    	5213.80934449	19.57486503	0         	-2140.27654716	1491.00264019	-649.27390696
tm        	27417.9749	0.3714    	77.0822   	5000.0    	5213.80934449	17.97684116	0         	-1825.14191557	1175.8680086	-649.27390697
tm        	26313.7604	0.4001    	154.1645  	5000.0    	5213.80934449	16.22593383	0         	-1510.00115402	860.72724705	-649.27390697
tm        	25209.5459	0.4288    	231.2467  	5000.0    	5213.80934449	14.29914506	0.95848551	-1194.86039247	545.5864855	-649.27390697
tm        	24105.3557	0.4575    	308.3289  	5000.0    	5213.80934449	12.16863852	3.17994987	-879.7278042	230.45389722	-649.27390697
tm        	23001.1412	0.4862    	385.4111  	5000.0    	5213.80934449	9.8001548 	5.67500286	-564.58704265	-84.68686432	-649.27390697
tm        	21896.9267	0.5148    	462.4934  	5000.0    	5213.80934449	7.15155216	8.14492343	-249.4462811	-399.82762587	-649.27390697
tm        	20792.7122	0.5435    	539.5756  	5000.0    	5213.80934449	4.46663448	10.4910073	65.69448046	-714.96838742	-649.27390696
tm        	19688.4977	0.5722    	616.6578  	5000.0    	5213.80934449	2.21256936	12.6818825	380.83524201	-1030.10914898	-649.27390697
tm        	18584.2893	0.6009    	693.74    	5000.0    	5213.80934449	0.64362596	14.68267716	695.97396024	-1345.24786721	-649.27390696
tm        	17397.829 	0.6328    	770.8223  	5000.0    	5213.80934449	4.26e-05  	16.67187096	1038.12976852	-1688.07304452	-649.943276
tm        	16216.4208	0.6645    	847.9045  	5000.0    	5213.80934449	0         	18.46065463	1376.23147968	-2029.26558886	-653.03410917
tm        	15077.5765	0.6946    	924.9867  	5000.0    	5213.80934449	0         	20.01458166	1697.53513198	-2356.10518402	-658.57005204
tm        	13979.7578	0.723     	1002.069  	5000.0    	5213.80934449	0         	21.37608655	2002.44861904	-2669.0724025	-666.62378346
tm        	12921.4813	0.7499    	1079.1512 	5000.0    	5213.80934449	0         	22.57795358	2291.27425016	-2968.68847325	-677.41422309
tm        	11901.1663	0.7753    	1156.2334 	5000.0    	5213.80934449	0         	23.6461123	2564.23304065	-3255.54654035	-691.3134997
tm        	10916.9403	0.7993    	1233.3156 	5000.0    	5213.80934449	0         	24.60161305	2821.48457075	-3530.36188946	-708.87731872
tm        	9966.274  	0.822     	1310.3979 	5000.0    	5213.80934449	0         	25.46221613	3063.17269964	-3794.08120122	-730.90850157
tm        	9045.7751 	0.8435    	1387.4801 	5000.0    	5213.80934449	0         	26.24335088	3289.36014953	-4047.93832316	-758.57817363
tm        	8151.0297 	0.8639    	1464.5623 	5000.0    	5213.80934449	0         	26.95877438	3499.82854074	-4293.49337923	-793.66483849
tm        	7276.2864 	0.8836    	1541.6446 	5000.0    	5213.80934449	0         	27.62122312	3693.6469849	-4532.72396371	-839.07697881
tm        	6414.6752 	0.9028    	1618.7268 	5000.0    	5213.80934449	0         	28.24238647	3867.7225651	-4767.9399009	-900.21733581
tm        	5558.9977 	0.9218    	1695.809  	5000.0    	5213.80934449	0         	28.83236806	4011.63214163	-5001.51640676	-989.88426512
tm        	4799.8655 	0.9369    	1772.8912 	5000.0    	5213.80934449	0         	29.31533628	4037.91033246	-5203.99696302	-1166.08663056
tm        	4631.2033 	0.9289    	1849.9735 	5000.0    	5213.80934449	0         	29.27895906	3787.12038295	-5217.5255111	-1430.40512815
tm        	4450.625  	0.9214    	1927.0557 	5000.0    	5213.80934449	0         	29.25247793	3539.75948721	-5239.41699353	-1699.65750633
tm        	4260.4652 	0.9142    	2004.1379 	5000.0    	5213.80934449	0         	29.23409868	3295.06346968	-5268.31568038	-1973.2522107
tm        	4062.426  	0.9074    	2081.2201 	5000.0    	5213.80934449	0         	29.22250727	3052.48844896	-5303.19542163	-2250.70697267
tm        	3857.7114 	0.9008    	2158.3024 	5000.0    	5213.80934449	0         	29.21678127	2811.65790734	-5343.28035117	-2531.62244383
tm        	3647.3062 	0.8944    	2235.3846 	5000.0    	5213.80934449	0         	29.21615777	2572.27056949	-5387.93413769	-2815.66356819
tm        	3431.94   	0.8883    	2312.4668 	5000.0    	5213.80934449	0         	29.22565352	2334.10781179	-5436.65385635	-3102.54604457
tm        	3212.1722 	0.8823    	2389.5491 	5000.0    	5213.80934449	0.03244973	29.26084475	2097.00508605	-5489.03134299	-3392.02625694
tm        	2988.5015 	0.8764    	2466.6313 	5000.0    	5213.80934449	0.24076719	29.32040588	1860.81818474	-5544.71182125	-3683.89363652
tm        	2761.2758 	0.8707    	2543.7135 	5000.0    	5213.80934449	0.59918707	29.40219846	1625.44845161	-5603.41322153	-3977.96476992
tm        	2530.8669 	0.8652    	2620.7957 	5000.0    	5213.80934449	1.06923178	29.50431865	1390.79171361	-5664.87050163	-4274.07878803
tm        	2297.4833 	0.8597    	2697.878  	5000.0    	5213.80934449	1.62198734	29.62520138	1156.79094609	-5728.88465591	-4572.09370982
tm        	2061.4133 	0.8543    	2774.9602 	5000.0    	5213.80934449	2.2356345 	29.76340129	923.36746893	-5795.2509796	-4871.88351067
tm        	1822.7843 	0.8491    	2852.0424 	5000.0    	5213.80934449	2.89339996	29.91773916	690.48771596	-5863.82346273	-5173.33574677
tm        	1581.8074 	0.8439    	2929.1246 	5000.0    	5213.80934449	3.5824653 	30.08710729	458.09529948	-5934.44491218	-5476.3496127
tm        	1338.6425 	0.8388    	3006.2069 	5000.0    	5213.80934449	4.29289573	30.27054671	226.14843046	-6006.98276974	-5780.83433927
tm        	1093.3498 	0.8339    	3083.2891 	5000.0    	5213.80934449	5.01690762	30.46725292	-5.36788882	-6081.3399733	-6086.70786212
tm        	846.1303  	0.8289    	3160.3713 	5000.0    	5213.80934449	5.74856337	30.67642416	-236.50608616	-6157.38962108	-6393.89570724
tm        	597.0279  	0.8241    	3237.4536 	5000.0    	5213.80934449	6.48312916	30.89742098	-467.2765901	-6235.05346185	-6702.33005195
tm        	346.1565  	0.8193    	3314.5358 	5000.0    	5213.80934449	7.21697403	31.12962915	-697.70837688	-6314.2405521	-7011.94892898
tm        	93.6076   	0.8146    	3391.618  	5000.0    	5213.80934449	7.94726679	31.3725041	-927.82427079	-6394.87127707	-7322.69554785
tm        	0.0001    	0.8037    	3468.7002 	5000.0    	5213.80934449	8.75747577	31.56072147	-1198.94367141	-6436.09012052	-7635.03379193
tm        	0.0001    	0.7891    	3545.7825 	5000.0    	5213.80934449	9.58897281	31.73368295	-1495.2018234	-6455.49959823	-7950.70142163
tm        	0.0001    	0.7744    	3622.8647 	5000.0    	5213.80934449	10.38712878	31.93231504	-1792.55643071	-6477.05434075	-8269.61077146
tm        	0.0001    	0.7598    	3699.9469 	5000.0    	5213.80934449	11.1528721	32.15687924	-2090.84464058	-6500.69436571	-8591.53900629
tm        	0.0001    	0.7452    	3777.0291 	5000.0    	5213.80934449	11.88736959	32.40775907	-2389.93462991	-6526.36589044	-8916.30052035
tm        	0.0001    	0.7306    	3854.1114 	5000.0    	5213.80934449	12.59191475	32.68546189	-2689.71848595	-6554.02079278	-9243.73927873
tm        	0.0001    	0.716     	3931.1936 	5000.0    	5213.80934449	13.26785623	32.99062226	-2990.10697697	-6583.61614808	-9573.72312505
tm        	0.0001    	0.7014    	4008.2758 	5000.0    	5213.80934449	13.91655187	33.32400674	-3291.02564811	-6615.11383212	-9906.13948022
tm        	0.0001    	0.6868    	4085.3581 	5000.0    	5213.80934449	14.53933935	33.68652032	-3592.41186376	-6648.48018135	-10240.89204511
tm        	0.0001    	0.6722    	4162.4403 	5000.0    	5213.80934449	15.13751782	34.07921454	-3894.21253747	-6683.68570365	-10577.89824112
tm        	0.0001    	0.6575    	4239.5225 	5000.0    	5213.80934449	15.71233682	34.49737236	-4196.38238743	-6720.70481968	-10917.08720711
tm        	0.0001    	0.6429    	4316.6047 	5000.0    	5213.80934449	16.26499005	34.90635971	-4498.8824771	-6759.51571462	-11258.39819172
tm        	0.0001    	0.6283    	4393.687  	5000.0    	5213.80934449	16.79661241	35.30099663	-4801.67923059	-6800.10008452	-11601.77931511
tm        	0.0001    	0.6137    	4470.7692 	5000.0    	5213.80934449	17.30827926	35.68202538	-5104.74347888	-6842.4430585	-11947.18653738
tm        	0.0001    	0.5991    	4547.8514 	5000.0    	5213.80934449	17.80100702	36.05013789	-5408.04977012	-6886.53308015	-12294.58285027
tm        	0.0001    	0.5845    	4624.9337 	5000.0    	5213.80934449	18.27575479	36.40598  	-5711.5757936	-6932.36183269	-12643.93762629
tm        	0.0001    	0.5699    	4702.0159 	5000.0    	5213.80934449	18.73342653	36.75015514	-6015.3019079	-6979.92419227	-12995.22610017
tm        	0.0001    	0.5553    	4779.0981 	5000.0    	5213.80934449	19.17487355	37.08322786	-6319.21075199	-7029.21820896	-13348.42896096
tm        	0.0001    	0.5407    	4856.1803 	5000.0    	5213.80934449	19.60089723	37.40572685	-6623.28692262	-7080.24511539	-13703.53203801
tm        	0.0001    	0.526     	4933.2626 	5000.0    	5213.80934449	20.01225179	37.71814774	-6927.51670506	-7133.00936351	-14060.52606857
tm        	0.0001    	0.5114    	5010.3448 	5000.0    	5213.80934449	20.40964702	38.02095568	-7231.88784732	-7187.51869069	-14419.40653801
tm        	0.0001    	0.4968    	5087.427  	5000.0    	5213.80934449	20.79375096	38.31458763	-7536.38936965	-7243.7842168	-14780.17358645
tm        	0.0001    	0.4822    	5164.5092 	5000.0    	5213.80934449	21.16519251	38.59945444	-7841.01140327	-7301.82057481	-15142.83197809
tm        	0.0001    	0.4676    	5241.5915 	5000.0    	5213.80934449	21.5245639	38.87594281	-8145.74505294	-7361.64607803	-15507.39113097
tm        	0.0001    	0.453     	5318.6737 	5000.0    	5213.80934449	21.87242303	39.14441703	-8450.58227954	-7423.28292837	-15873.86520791
tm        	0.0001    	0.4384    	5395.7559 	5000.0    	5213.80934449	22.20929569	39.40522056	-8755.51579933	-7486.75747084	-16242.27327017
tm        	0.0001    	0.4238    	5472.8382 	5000.0    	5213.80934449	22.53567763	39.65867751	-9060.53899709	-7552.10050101	-16612.6394981
tm        	0.0001    	0.4091    	5549.9204 	5000.0    	5213.80934449	22.85203654	39.90509398	-9365.64585093	-7619.34763402	-16984.99348495
tm        	0.0001    	0.3945    	5627.0026 	5000.0    	5213.80934449	23.15881382	40.14475933	-9670.83086721	-7688.53974557	-17359.37061278
tm        	0.0001    	0.3799    	5704.0848 	5000.0    	5213.80934449	23.45642634	40.37794723	-9976.08902374	-7759.72349836	-17735.8125221
tm        	0.0001    	0.3653    	5781.1671 	5000.0    	5213.80934449	23.745268 	40.60491678	-10281.41572014	-7832.95197067	-18114.36769081
tm        	0.0001    	0.3507    	5858.2493 	5000.0    	5213.80934449	24.02571118	40.82591345	-10586.80673446	-7908.28540865	-18495.0921431
tm        	0.0001    	0.3361    	5935.3315 	5000.0    	5213.80934449	24.29810817	41.04116995	-10892.25818496	-7985.7921293	-18878.05031426
tm        	0.0001    	0.3215    	6012.4137 	5000.0    	5213.80934449	24.56279242	41.25090706	-11197.76651647	-8065.54960096	-19263.31611742
tm        	0.0001    	0.3069    	6089.496  	5000.0    	5213.80934449	24.82007969	41.45533436	-11503.32838989	-8147.64579914	-19650.97418904
tm        	0.0001    	0.2922    	6166.5782 	5000.0    	5213.80934449	25.07026925	41.65465098	-11808.94077835	-8232.18076531	-20041.12154366
tm        	0.0001    	0.2776    	6243.6604 	5000.0    	5213.80934449	25.31364483	41.8490462	-12114.60086125	-8319.26862741	-20433.86948865
tm        	0.0001    	0.263     	6320.7427 	5000.0    	5213.80934449	25.55047561	42.03870008	-12420.30602438	-8409.04005342	-20829.3460778
tm        	0.0001    	0.2484    	6397.8249 	5000.0    	5213.80934449	25.78101711	42.22378398	-12726.05384137	-8501.64533987	-21227.69918124
tm        	0.0001    	0.2338    	6474.9071 	5000.0    	5213.80934449	26.00551202	42.40446112	-13031.84205702	-8597.25832931	-21629.10038633
tm        	0.0001    	0.2192    	6551.9893 	5000.0    	5213.80934449	26.22419096	42.58088703	-13337.66857256	-8696.08144392	-22033.75001648
