type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     
ls        	0.0-0.0   	37261.0882	0.0       	0.0       	5000.0    	5213.80934449	30.00163871	0         	-5440.15611825	3362.83939793	-2077.31672033
lh        	0.0-0.01  	36888.4773	0.0       	77.0822   	5000.0    	5213.80934449	29.86999418	0         	-5411.51132252	3222.95079748	-2188.56052504
lh        	0.0-0.02  	36515.8664	0.0       	154.1645  	5000.0    	5213.80934449	29.73834964	0         	-5382.86652679	3083.06219704	-2299.80432975
lh        	0.0-0.03  	36143.2555	0.0       	231.2467  	5000.0    	5213.80934449	29.6067051	0         	-5354.22173106	2943.1735966	-2411.04813446
lh        	0.0-0.04  	35770.6447	0.0       	308.3289  	5000.0    	5213.80934449	29.47506057	0         	-5325.57693533	2803.28499615	-2522.29193918
lh        	0.0-0.05  	35398.0338	0.0       	385.4111  	5000.0    	5213.80934449	29.34341603	0         	-5297.17119616	2663.39639571	-2633.77480044
lh        	0.0-0.06  	35025.4229	0.0       	462.4934  	5000.0    	5213.80934449	29.21177149	0         	-5277.79249589	2523.50779527	-2754.28470062
lh        	0.0-0.07  	34652.812 	0.0       	539.5756  	5000.0    	5213.80934449	29.08012695	0         	-5270.9542002	2383.61919483	-2887.33500538
lh        	0.0-0.08  	34280.2011	0.0       	616.6578  	5000.0    	5213.80934449	28.94848242	0         	-5275.44981391	2243.73059438	-3031.71921953
lh        	0.0-0.09  	33907.5902	0.0       	693.74    	5000.0    	5213.80934449	28.81683788	0         	-5290.18074643	2103.84199394	-3186.33875249
lh        	0.0-0.1   	33534.9794	0.0       	770.8223  	5000.0    	5213.80934449	28.68519334	0         	-5314.17151054	1963.95339349	-3350.21811705
lh        	0.0-0.11  	33162.3685	0.0       	847.9045  	5000.0    	5213.80934449	28.55354881	0         	-5346.56560118	1824.06479305	-3522.50080813
lh        	0.0-0.12  	32789.7576	0.0       	924.9867  	5000.0    	5213.80934449	28.42190427	0         	-5386.61394208	1684.1761926	-3702.43774947
lh        	0.0-0.13  	32417.1467	0.0       	1002.069  	5000.0    	5213.80934449	28.29025973	0         	-5433.66141333	1544.28759216	-3889.37382117
lh        	0.0-0.14  	32044.5358	0.0       	1079.1512 	5000.0    	5213.80934449	28.15861519	0         	-5487.13383599	1404.39899172	-4082.73484427
lh        	0.0-0.15  	31671.925 	0.0       	1156.2334 	5000.0    	5213.80934449	28.02697066	0         	-5546.52631004	1264.51039128	-4282.01591876
lh        	0.0-0.16  	31299.3141	0.0       	1233.3156 	5000.0    	5213.80934449	27.89532612	0         	-5611.39313098	1124.62179084	-4486.77134014
lh        	0.0-0.17  	30926.7032	0.0       	1310.3979 	5000.0    	5213.80934449	27.76368158	0         	-5681.33922365	984.73319039	-4696.60603326
lh        	0.0-0.18  	30554.0923	0.0       	1387.4801 	5000.0    	5213.80934449	27.63203705	0         	-5756.01292553	844.84458995	-4911.16833558
lh        	0.0-0.19  	30181.4814	0.0       	1464.5623 	5000.0    	5213.80934449	27.50039251	0         	-5835.09992557	704.9559895	-5130.14393606
lh        	0.0-0.2   	29808.8705	0.0       	1541.6446 	5000.0    	5213.80934449	27.36874797	0         	-5918.31817432	565.06738906	-5353.25078526
lh        	0.0-0.21  	29436.2597	0.0       	1618.7268 	5000.0    	5213.80934449	27.23710344	0         	-6005.41360195	425.17878861	-5580.23481333
lh        	0.0-0.22  	29063.6488	0.0       	1695.809  	5000.0    	5213.80934449	27.1054589	0.14243502	-6096.15650592	285.29018817	-5810.86631775
lh        	0.0-0.23  	28691.0379	0.0       	1772.8912 	5000.0    	5213.80934449	26.97381436	2.63192323	-6190.33849304	145.40158773	-6044.93690531
lh        	0.0-0.24  	28318.427 	0.0       	1849.9735 	5000.0    	5213.80934449	26.84216982	4.91395409	-6287.76988079	5.51298729	-6282.2568935
lh        	0.0-0.25  	27945.8161	0.0       	1927.0557 	5000.0    	5213.80934449	26.71052529	7.01342249	-6388.27748019	-134.37561315	-6522.65309334
lh        	0.0-0.26  	27573.2053	0.0       	2004.1379 	5000.0    	5213.80934449	26.57888075	8.95139331	-6491.70269644	-274.2642136	-6765.96691004
