type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	37440.272 	0.0       	0         	5106.90467225	5106.90467225	29.54219291	0         	-10447.08906727	-1813.01740124	-12260.10646851
tm        	37185.272 	0.01      	0         	5106.90467225	5106.90467225	29.33554839	0         	-10349.17267542	-1813.30234269	-12162.47501811
tm        	36930.272 	0.02      	0         	5106.90467225	5106.90467225	29.12468664	0         	-10251.25628357	-1814.15755191	-12065.41383548
tm        	36675.272 	0.03      	0         	5106.90467225	5106.90467225	28.90947723	0         	-10153.33989172	-1823.01721034	-11976.35710206
tm        	36420.272 	0.04      	0         	5106.90467225	5106.90467225	28.68978428	0         	-10055.42349987	-1843.01881669	-11898.44231655
tm        	36165.272 	0.05      	0         	5106.90467225	5106.90467225	28.46546622	0         	-9957.50710801	-1870.41309202	-11827.92020003
tm        	35910.272 	0.06      	0         	5106.90467225	5106.90467225	28.23637544	0         	-9859.59071616	-1903.26270472	-11762.85342089
tm        	35655.272 	0.07      	0         	5106.90467225	5106.90467225	28.00235797	0         	-9761.67432431	-1940.41031044	-11702.08463476
tm        	35400.272 	0.08      	0         	5106.90467225	5106.90467225	27.76325316	0         	-9663.75793246	-1981.09914357	-11644.85707603
tm        	35145.272 	0.09      	0         	5106.90467225	5106.90467225	27.51889331	0         	-9565.84154061	-2024.80294092	-11590.64448153
tm        	34890.272 	0.1       	0         	5106.90467225	5106.90467225	27.26910323	0         	-9467.92514876	-2071.13918404	-11539.0643328
tm        	34635.272 	0.11      	0         	5106.90467225	5106.90467225	27.0136999	0         	-9370.00875691	-2119.82058835	-11489.82934526
tm        	34380.272 	0.12      	0         	5106.90467225	5106.90467225	26.75249194	0         	-9272.09236506	-2170.62604802	-11442.71841308
tm        	34125.272 	0.13      	0         	5106.90467225	5106.90467225	26.48527921	0         	-9174.17597321	-2223.38228136	-11397.55825457
tm        	33870.272 	0.14      	0         	5106.90467225	5106.90467225	26.21185222	0         	-9076.25958136	-2277.95173705	-11354.21131841
tm        	33615.272 	0.15      	0         	5106.90467225	5106.90467225	25.93199166	0         	-8978.34318951	-2334.22435347	-11312.56754298
tm        	33360.272 	0.16      	0         	5106.90467225	5106.90467225	25.64546775	0         	-8880.42679765	-2392.11179299	-11272.53859065
tm        	33105.272 	0.17      	0         	5106.90467225	5106.90467225	25.35203965	0         	-8782.5104058	-2451.54332648	-11234.05373229
tm        	32850.272 	0.18      	0         	5106.90467225	5106.90467225	25.05145477	0         	-8684.59401395	-2512.46285609	-11197.05687005
tm        	32595.272 	0.19      	0         	5106.90467225	5106.90467225	24.74344804	0         	-8586.6776221	-2574.8267496	-11161.5043717
tm        	32340.272 	0.2       	0         	5106.90467225	5106.90467225	24.42774114	0         	-8488.76123025	-2638.60227301	-11127.36350327
tm        	32085.272 	0.21      	0         	5106.90467225	5106.90467225	24.10404166	0         	-8390.8448384	-2703.7664809	-11094.6113193
tm        	31830.272 	0.22      	0         	5106.90467225	5106.90467225	23.77204219	0         	-8292.92844656	-2770.30547231	-11063.23391887
tm        	31575.272 	0.23      	0         	5106.90467225	5106.90467225	23.43141936	0         	-8195.01205471	-2838.21395418	-11033.22600888
tm        	31320.272 	0.24      	0         	5106.90467225	5106.90467225	23.08183278	0         	-8097.09566286	-2907.49507953	-11004.59074239
tm        	31065.272 	0.25      	0         	5106.90467225	5106.90467225	22.72292388	0         	-7999.179271	-2978.1605486	-10977.3398196
tm        	30810.272 	0.26      	0         	5106.90467225	5106.90467225	22.35431474	0         	-7901.94158077	-3050.23098055	-10952.17256132
