type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	28880.5352	0.3357    	0.0       	5106.90467225	5106.90467225	19.2050781	0         	-7216.60820837	-3646.47504309	-10863.08325146
tm        	27771.0209	0.3645    	77.4529   	5106.90467225	5106.90467225	17.59998463	0         	-6899.95540877	-3963.1278427	-10863.08325147
tm        	26661.5126	0.3933    	154.9058  	5106.90467225	5106.90467225	15.84236163	0         	-6583.30465247	-4279.77859899	-10863.08325146
tm        	25551.9801	0.4222    	232.3587  	5106.90467225	5106.90467225	13.90930837	1.10619133	-6266.6457229	-4596.43752856	-10863.08325146
tm        	24442.4597	0.451     	309.8116  	5106.90467225	5106.90467225	11.77327877	3.43316991	-5949.99087998	-4913.09237149	-10863.08325146
tm        	23332.9393	0.4798    	387.2645  	5106.90467225	5106.90467225	9.40049517	5.99881779	-5633.33603705	-5229.74721442	-10863.08325147
tm        	22223.4311	0.5086    	464.7174  	5106.90467225	5106.90467225	6.75715013	8.51806411	-5316.68528075	-5546.39797071	-10863.08325146
tm        	21113.8985	0.5375    	542.1703  	5106.90467225	5106.90467225	4.15831717	10.89932476	-5000.02635119	-5863.05690028	-10863.08325146
tm        	20004.3903	0.5663    	619.6232  	5106.90467225	5106.90467225	1.99935081	13.11180445	-4683.3755949	-6179.70765656	-10863.08325146
tm        	18894.8699	0.5951    	697.0762  	5106.90467225	5106.90467225	0.53237196	15.12094322	-4366.72075197	-6496.36249949	-10863.08325146
tm        	17708.1863	0.627     	774.5291  	5106.90467225	5106.90467225	0         	17.10396512	-4024.66685821	-6838.9886361	-10863.65549431
tm        	16518.475 	0.659     	851.982   	5106.90467225	5106.90467225	0         	18.900837 	-3683.90700358	-7182.70421612	-10866.61121971
tm        	15371.4065	0.6893    	929.4349  	5106.90467225	5106.90467225	0         	20.45991104	-3359.9647552	-7512.04456156	-10872.00931677
tm        	14265.3637	0.7179    	1006.8878 	5106.90467225	5106.90467225	0         	21.82468265	-3052.39947847	-7827.51221227	-10879.91169074
tm        	13198.9117	0.7451    	1084.3407 	5106.90467225	5106.90467225	0         	23.02847848	-2760.91690124	-8129.60862202	-10890.52552325
tm        	12170.4699	0.7707    	1161.7936 	5106.90467225	5106.90467225	0         	24.09766362	-2485.28364061	-8418.92462134	-10904.20826195
tm        	11178.1899	0.795     	1239.2465 	5106.90467225	5106.90467225	0         	25.05355788	-2225.32941041	-8696.16577423	-10921.49518464
tm        	10219.64  	0.8179    	1316.6994 	5106.90467225	5106.90467225	0         	25.91401328	-1980.91280701	-8962.24539039	-10943.15819739
tm        	9291.5978 	0.8396    	1394.1523 	5106.90467225	5106.90467225	0         	26.69441864	-1751.97704535	-9218.34078169	-10970.31782703
tm        	8389.7226 	0.8603    	1471.6052 	5106.90467225	5106.90467225	0         	27.40856392	-1538.67255422	-9465.98937694	-11004.66193116
tm        	7508.5669 	0.8801    	1549.0581 	5106.90467225	5106.90467225	0         	28.06894472	-1341.84438814	-9707.07088739	-11048.91527553
tm        	6641.4553 	0.8995    	1626.511  	5106.90467225	5106.90467225	0         	28.68712065	-1164.19394082	-9943.83540391	-11108.02934472
tm        	5781.2745 	0.9185    	1703.9639 	5106.90467225	5106.90467225	0         	29.27316488	-1014.58217533	-10178.63524406	-11193.21741938
tm        	4926.8693 	0.9373    	1781.4168 	5106.90467225	5106.90467225	0         	29.83052122	-938.29486388	-10411.84298081	-11350.13784469
tm        	4757.4732 	0.9293    	1858.8697 	5106.90467225	5106.90467225	0         	29.79837398	-1190.26241663	-10424.81116425	-11615.07358088
tm        	4577.0486 	0.9217    	1936.3227 	5106.90467225	5106.90467225	0         	29.77516035	-1439.0927684	-10445.96421892	-11885.05698732
tm        	4386.7505 	0.9145    	2013.7756 	5106.90467225	5106.90467225	0         	29.76013363	-1685.16792437	-10474.3085329	-12159.47645726
tm        	4188.3665 	0.9076    	2091.2285 	5106.90467225	5106.90467225	0         	29.7519447	-1929.06032042	-10508.77466933	-12437.83498975
tm        	3983.1246 	0.9009    	2168.6814 	5106.90467225	5106.90467225	0         	29.74967694	-2171.15521239	-10548.5664646	-12719.72167699
tm        	3772.1071 	0.8945    	2246.1343 	5106.90467225	5106.90467225	0         	29.75250356	-2411.78397903	-10593.00824703	-13004.79222605
tm        	3556.0069 	0.8883    	2323.5872 	5106.90467225	5106.90467225	0         	29.76138375	-2651.15464673	-10641.60019425	-13292.75484099
tm        	3335.4199 	0.8823    	2401.0401 	5106.90467225	5106.90467225	0.00488869	29.79259064	-2889.44292919	-10693.91681545	-13583.35974463
tm        	3110.8701 	0.8764    	2478.493  	5106.90467225	5106.90467225	0.1487595 	29.84872397	-3126.80048187	-10749.5907636	-13876.39124548
tm        	2882.7218 	0.8707    	2555.9459 	5106.90467225	5106.90467225	0.45396524	29.92758496	-3363.33074847	-10808.33087974	-14171.6616282
tm        	2651.299  	0.8651    	2633.3988 	5106.90467225	5106.90467225	0.87973046	30.02726533	-3599.12441058	-10869.88196806	-14469.00637864
tm        	2416.9166 	0.8596    	2710.8517 	5106.90467225	5106.90467225	1.39550588	30.14608414	-3834.26849394	-10934.01190873	-14768.28040267
tm        	2179.7578 	0.8542    	2788.3046 	5106.90467225	5106.90467225	1.97805981	30.28264082	-4068.81228902	-11000.54270852	-15069.35499754
tm        	1940.0303 	0.8489    	2865.7575 	5106.90467225	5106.90467225	2.60965048	30.43567102	-4302.81169965	-11069.30370075	-15372.1154004
tm        	1697.9548 	0.8437    	2943.2104 	5106.90467225	5106.90467225	3.27664265	30.60403919	-4536.32548091	-11140.13330464	-15676.45878555
tm        	1453.6178 	0.8386    	3020.6633 	5106.90467225	5106.90467225	3.96837272	30.78680906	-4769.3756056	-11212.91700847	-15982.29261406
tm        	1207.1765 	0.8336    	3098.1162 	5106.90467225	5106.90467225	4.67660579	30.98309862	-5002.00310834	-11287.53015506	-16289.5332634
tm        	958.7757  	0.8287    	3175.5692 	5106.90467225	5106.90467225	5.39491426	31.19212258	-5234.24529745	-11363.85958362	-16598.10488107
tm        	708.4679  	0.8238    	3253.0221 	5106.90467225	5106.90467225	6.11820952	31.41321968	-5466.11492166	-11441.82349786	-16907.93841952
tm        	456.3601  	0.819     	3330.475  	5106.90467225	5106.90467225	6.84255591	31.64576441	-5697.63917799	-11521.33164063	-17218.97081862
tm        	202.552   	0.8143    	3407.9279 	5106.90467225	5106.90467225	7.56487855	31.88919479	-5928.84308546	-11602.30122366	-17531.14430912
