type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	SB_Risk%  	B_Risk%   	SO_Risk%  	O_Risk%   	SB_VaR    	B_VaR     	SO_VaR    	O_VaR     	T_VaR     
ls        	0.0-0.0   	37440.272 	0.0       	0.0       	5106.90467225	5106.90467225	29.552    	29.54219291	0.0       	0         	-10440.60849703	-10447.08906727	-1812.94603309	-1813.01740124	-12260.10646851
lh        	0.0-0.01  	37065.8693	0.0       	77.4529   	5106.90467225	5106.90467225	29.246    	29.40991531	0.0       	0         	-10426.48892693	-10418.30652234	-1952.07729508	-1953.57870828	-12371.88523062
lh        	0.0-0.02  	36691.4666	0.0       	154.9058  	5106.90467225	5106.90467225	29.287    	29.27763771	0.0       	0         	-10374.40271415	-10389.52397741	-2092.23420515	-2094.14001533	-12483.66399273
lh        	0.0-0.03  	36317.0639	0.0       	232.3587  	5106.90467225	5106.90467225	29.105    	29.14536011	0.0       	0         	-10386.88496973	-10360.74143248	-2235.68326681	-2234.70132237	-12595.44275485
lh        	0.0-0.04  	35942.6612	0.0       	309.8116  	5106.90467225	5106.90467225	28.963    	29.01308251	0.0       	0         	-10344.43646898	-10331.95888755	-2376.36363763	-2375.26262941	-12707.22151696
lh        	0.0-0.05  	35568.2584	0.0       	387.2645  	5106.90467225	5106.90467225	28.824    	28.88080491	0.0       	0         	-10298.04929749	-10303.17634262	-2517.02018412	-2515.82393646	-12819.00027907
lh        	0.0-0.06  	35193.8557	0.0       	464.7174  	5106.90467225	5106.90467225	28.47     	28.74852731	0.0       	0         	-10299.37287751	-10280.31496454	-2656.36687956	-2656.3852435	-12936.70020804
lh        	0.0-0.07  	34819.453 	0.0       	542.1703  	5106.90467225	5106.90467225	28.559    	28.61624972	0.0       	0         	-10271.26680897	-10270.54566621	-2803.15623029	-2796.94655054	-13067.49221676
lh        	0.0-0.08  	34445.0503	0.0       	619.6232  	5106.90467225	5106.90467225	28.826    	28.48397212	0.0       	0         	-10284.82565035	-10272.60824747	-2939.86245829	-2937.50785759	-13210.11610506
lh        	0.0-0.09  	34070.6476	0.0       	697.0762  	5106.90467225	5106.90467225	28.238    	28.35169452	0.0       	0         	-10320.37610233	-10285.31909015	-3078.70723274	-3078.06916463	-13363.38825478
lh        	0.0-0.1   	33696.2448	0.0       	774.5291  	5106.90467225	5106.90467225	28.156    	28.21941692	0.0       	0         	-10302.99296021	-10307.63305617	-3220.10168838	-3218.63047167	-13526.26352784
lh        	0.0-0.11  	33321.8421	0.0       	851.982   	5106.90467225	5106.90467225	28.034    	28.08713932	0.0       	0         	-10375.30767659	-10338.63751074	-3360.53096929	-3359.19177872	-13697.82928945
lh        	0.0-0.12  	32947.4394	0.0       	929.4349  	5106.90467225	5106.90467225	28.071    	27.95486172	0.0       	0         	-10400.86914573	-10377.53829382	-3502.49371818	-3499.75308576	-13877.29137958
lh        	0.0-0.13  	32573.0367	0.0       	1006.8878 	5106.90467225	5106.90467225	27.626    	27.82258412	0.0       	0         	-10428.22172337	-10423.64396521	-3622.51681266	-3640.3143928	-14063.95835801
lh        	0.0-0.14  	32198.634 	0.0       	1084.3407 	5106.90467225	5106.90467225	27.886    	27.69030652	0.0       	0         	-10447.74844532	-10476.35090772	-3792.72721453	-3780.87569985	-14257.22660757
lh        	0.0-0.15  	31824.2312	0.0       	1161.7936 	5106.90467225	5106.90467225	27.35     	27.55802892	0.0       	0         	-10564.08746332	-10535.13018237	-3920.31773707	-3921.43700689	-14456.56718925
lh        	0.0-0.16  	31449.8285	0.0       	1239.2465 	5106.90467225	5106.90467225	27.593    	27.42575132	0.0       	0         	-10605.55805579	-10599.5162971	-4057.60667049	-4061.99831393	-14661.51461103
