time      	proj_id   	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	SB_Risk   	B_Risk    	SO_Risk   	O_Risk    	B_VaR     	O_VaR     	ST_VaR    	T_VaR     
2025-11-15 01:25:52	001       	ls        	37440.272 	0         	0         	5106.90467225	5106.90467225	29.585    	29.54219291	0.0       	0         	-10447.08906727	-1813.01740124	-12255.79587144	-12260.10646851
2025-11-15 01:25:52	001       	cp        	28880.5352	0.3357    	0         	5106.90467225	5106.90467225	19.211    	19.2050781	0.0       	0         	-7216.60820837	-3646.47504309	-10902.66044107	-10863.08325146
2025-11-15 01:25:52	001       	lh        	37440.272 	0         	0         	5106.90467225	5106.90467225	29.607    	29.54219291	0.0       	0         	-10447.08906727	-1813.01740124	-12264.52117442	-12260.10646851
2025-11-15 01:25:52	001       	tm        	22556.1272	0.5       	441.4918  	5106.90467225	5106.90467225	7.637     	7.57638629	7.841     	7.77482712	-5411.63536599	-5451.44788547	-10858.82929503	-10863.08325146
2025-11-15 01:25:59	002       	ls        	34088.0544	0         	0         	7106.90467225	7106.90467225	19.656    	19.75459243	0.0       	0         	-10317.88495004	-2523.04334361	-12881.25788329	-12840.92829365
2025-11-15 01:25:59	002       	cp        	24044.6427	0.4671    	0         	7106.90467225	7106.90467225	0.0       	0         	0.0       	0         	-5788.55289894	-5074.53035252	-10839.84709143	-10863.08325146
2025-11-15 01:25:59	002       	lh        	34088.0544	0         	0         	7106.90467225	7106.90467225	19.301    	19.75459243	0.0       	0         	-10317.88495004	-2523.04334361	-12907.61772522	-12840.92829365
2025-11-15 01:25:59	002       	tm        	18600.2985	0.625     	424.1376  	7106.90467225	7106.90467225	0.0       	0         	3.305     	3.26963919	-4054.5318631	-6808.55138836	-10835.64696795	-10863.08325146
2025-11-15 01:26:03	003       	ls        	35345.136 	0         	0         	6356.90467225	6356.90467225	23.308    	23.42494261	0.0       	0         	-10366.02445063	-2256.78361522	-12671.55050352	-12622.80806584
2025-11-15 01:26:03	003       	cp        	25734.8708	0.4178    	0         	6356.90467225	6356.90467225	4.734     	4.78630779	0.0       	0         	-6324.07798203	-4539.00526943	-10830.17258912	-10863.08325146
2025-11-15 01:26:03	003       	lh        	35345.136 	0         	0         	6356.90467225	6356.90467225	23.48     	23.42494261	0.0       	0         	-10366.02445063	-2256.78361522	-12625.03757515	-12622.80806584
2025-11-15 01:26:03	003       	tm        	22778.0651	0.5       	220.7456  	6356.90467225	6356.90467225	0.213     	0.20803121	0.075     	0.07159121	-5421.58877467	-5441.49447679	-10839.22941377	-10863.08325146
2025-11-15 01:26:07	004       	ls        	39535.4081	0         	0         	3856.90467225	3856.90467225	35.726    	35.65944321	0.0       	0         	-10528.15368392	-1369.25118726	-11865.43333327	-11897.40487118
2025-11-15 01:26:07	004       	cp        	32437.0347	0.2535    	0         	3856.90467225	3856.90467225	30.957    	30.78926592	0.0       	0         	-8109.14660799	-2753.93664347	-10836.28696481	-10863.08325146
2025-11-15 01:26:07	004       	lh        	39535.4081	0         	0         	3856.90467225	3856.90467225	36.022    	35.65944321	0.0       	0         	-10528.15368392	-1369.25118726	-11877.39855582	-11897.40487118
2025-11-15 01:26:07	004       	tm        	22334.1828	0.5       	662.2393  	3856.90467225	3856.90467225	19.083    	19.05688155	19.094    	19.11025137	-5401.68076761	-5461.40248385	-10863.45907454	-10863.08325146
2025-11-15 01:26:14	005       	ls        	45820.8161	0         	0         	106.90467225	106.90467225	54.163    	54.01119411	0.0       	0         	-10847.15631259	-37.95254533	-10850.72765083	-10885.10885792
2025-11-15 01:26:14	005       	cp        	45571.3608	0.007     	0         	106.90467225	106.90467225	53.934    	54.03957988	0.0       	0         	-10786.74954693	-76.33370454	-10866.60633402	-10863.08325146
2025-11-15 01:26:14	005       	lh        	45820.8161	0         	0         	106.90467225	106.90467225	53.89     	54.01119411	0.0       	0         	-10847.15631259	-37.95254533	-10905.24050875	-10885.10885792
2025-11-15 01:26:14	005       	tm        	33790.2159	0.25      	652.8008  	106.90467225	106.90467225	53.784    	53.86174816	52.543    	52.62174874	-8117.87626113	-2745.20699033	-10877.89996695	-10863.08325146
2025-11-15 01:26:32	006       	ls        	58391.6323	0         	0         	-7393.09532775	-7393.09532775	79.386    	79.33233945	100.0     	100       	-12440.03807856	-3325.94283581	-15737.1920601	-15765.98091437
2025-11-15 01:26:32	006       	cp        	54062.0226	0.0857    	0         	-7393.09532775	-7393.09532775	80.235    	80.17617857	100.0     	100       	-11868.14199939	-3560.24749076	-15413.06696248	-15428.38949015
2025-11-15 01:26:32	006       	lh        	51722.4063	0         	1379.6666 	-7393.09532775	-7393.09532775	81.623    	81.51794498	100.0     	100.0     	-10745.38552949	-289.37524842	-11002.40771022	-11034.76077791
2025-11-15 01:26:32	006       	tm        	37421.7219	0.233     	1904.3752 	-7393.09532775	-7393.09532775	86.46     	86.44963228	100.0     	100.0     	-8277.71133739	-2601.28009702	-10885.65795628	-10878.99143441
2025-11-15 01:26:42	007       	ls        	29940.272 	0         	0         	9581.55447945	9581.55447945	0.0       	0         	0.0       	0         	-5666.51329237	-3401.5761243	-9064.22790186	-9068.08941667
