type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	17137.2769	0.7892    	0.0       	5000.0    	37431.28795637	0.4512274 	38.92838195	-4128.2884701	-15452.72403288	-19581.01250298
tm        	16606.4546	0.7954    	77.0822   	5000.0    	37431.28795637	0.0979963 	39.1468042	-3970.47793456	-15610.53456843	-19581.01250299
tm        	16075.6263	0.8016    	154.1645  	5000.0    	37431.28795637	0         	39.36045978	-3812.66624253	-15768.34626045	-19581.01250299
tm        	15544.8116	0.8078    	231.2467  	5000.0    	37431.28795637	0         	39.56949085	-3654.85719389	-15926.15530909	-19581.01250298
tm        	15013.9879	0.814     	308.3289  	5000.0    	37431.28795637	0         	39.77403883	-3497.04638299	-16083.96611999	-19581.01250298
tm        	14483.1293	0.8202    	385.4111  	5000.0    	37431.28795637	0         	39.97424003	-3339.22883513	-16241.78366785	-19581.01250299
tm        	13952.3373	0.8264    	462.4934  	5000.0    	37431.28795637	0         	40.17021309	-3181.42417379	-16399.5883292	-19581.01250298
tm        	13421.509 	0.8326    	539.5756  	5000.0    	37431.28795637	0         	40.36209257	-3023.61248176	-16557.40002122	-19581.01250298
tm        	12890.693 	0.8388    	616.6578  	5000.0    	37431.28795637	0         	40.5499933	-2865.80315778	-16715.20934521	-19581.01250299
tm        	12359.8463	0.845     	693.74    	5000.0    	37431.28795637	0         	40.73403461	-2707.98792286	-16873.02458012	-19581.01250298
tm        	11829.0241	0.8512    	770.8223  	5000.0    	37431.28795637	0         	40.91432257	-2550.17740568	-17030.8350973	-19581.01250298
tm        	11298.202 	0.8574    	847.9045  	5000.0    	37431.28795637	0         	41.09096666	-2392.36690686	-17188.64559613	-19581.01250299
tm        	10767.3675	0.8636    	924.9867  	5000.0    	37431.28795637	0         	41.26407132	-2234.55402163	-17346.45848136	-19581.01250299
tm        	10236.5453	0.8698    	1002.069  	5000.0    	37431.28795637	0         	41.43373419	-2076.7435228	-17504.26898018	-19581.01250298
tm        	9705.7291 	0.876     	1079.1512 	5000.0    	37431.28795637	0         	41.60005208	-1918.93416211	-17662.07834089	-19581.01250299
