type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     
ls        	0.0-0.0   	37261.0882	0.0       	0.0       	5000.0    	5213.80934449	30.00163871	0         	-10440.15611825	-1850.96994657	-12291.12606482
lh        	0.0-0.01  	36888.4773	0.0       	77.0822   	5000.0    	5213.80934449	29.86999418	0         	-10411.51132252	-1990.85854702	-12402.36986954
lh        	0.0-0.02  	36515.8664	0.0       	154.1645  	5000.0    	5213.80934449	29.73834964	0         	-10382.86652679	-2130.74714746	-12513.61367425
lh        	0.0-0.03  	36143.2555	0.0       	231.2467  	5000.0    	5213.80934449	29.6067051	0         	-10354.22173106	-2270.63574789	-12624.85747896
lh        	0.0-0.04  	35770.6447	0.0       	308.3289  	5000.0    	5213.80934449	29.47506057	0         	-10325.57693533	-2410.52434834	-12736.10128368
lh        	0.0-0.05  	35398.0338	0.0       	385.4111  	5000.0    	5213.80934449	29.34341603	0         	-10297.17119616	-2550.41294878	-12847.58414494
lh        	0.0-0.06  	35025.4229	0.0       	462.4934  	5000.0    	5213.80934449	29.21177149	0         	-10277.79249589	-2690.30154923	-12968.09404512
lh        	0.0-0.07  	34652.812 	0.0       	539.5756  	5000.0    	5213.80934449	29.08012695	0         	-10270.9542002	-2830.19014967	-13101.14434987
lh        	0.0-0.08  	34280.2011	0.0       	616.6578  	5000.0    	5213.80934449	28.94848242	0         	-10275.44981391	-2970.07875012	-13245.52856403
lh        	0.0-0.09  	33907.5902	0.0       	693.74    	5000.0    	5213.80934449	28.81683788	0         	-10290.18074643	-3109.96735056	-13400.14809699
lh        	0.0-0.1   	33534.9794	0.0       	770.8223  	5000.0    	5213.80934449	28.68519334	0         	-10314.17151054	-3249.855951	-13564.02746154
lh        	0.0-0.11  	33162.3685	0.0       	847.9045  	5000.0    	5213.80934449	28.55354881	0         	-10346.56560118	-3389.74455144	-13736.31015262
lh        	0.0-0.12  	32789.7576	0.0       	924.9867  	5000.0    	5213.80934449	28.42190427	0         	-10386.61394208	-3529.63315189	-13916.24709397
lh        	0.0-0.13  	32417.1467	0.0       	1002.069  	5000.0    	5213.80934449	28.29025973	0         	-10433.66141333	-3669.52175233	-14103.18316566
lh        	0.0-0.14  	32044.5358	0.0       	1079.1512 	5000.0    	5213.80934449	28.15861519	0         	-10487.13383599	-3809.41035277	-14296.54418876
lh        	0.0-0.15  	31671.925 	0.0       	1156.2334 	5000.0    	5213.80934449	28.02697066	0         	-10546.52631004	-3949.29895322	-14495.82526326
lh        	0.0-0.16  	31299.3141	0.0       	1233.3156 	5000.0    	5213.80934449	27.89532612	0         	-10611.39313098	-4089.18755366	-14700.58068464
lh        	0.0-0.17  	30926.7032	0.0       	1310.3979 	5000.0    	5213.80934449	27.76368158	0         	-10681.33922365	-4229.07615411	-14910.41537776
lh        	0.0-0.18  	30554.0923	0.0       	1387.4801 	5000.0    	5213.80934449	27.63203705	0         	-10756.01292553	-4368.96475455	-15124.97768007
lh        	0.0-0.19  	30181.4814	0.0       	1464.5623 	5000.0    	5213.80934449	27.50039251	0         	-10835.09992557	-4508.85335499	-15343.95328056
lh        	0.0-0.2   	29808.8705	0.0       	1541.6446 	5000.0    	5213.80934449	27.36874797	0         	-10918.31817432	-4648.74195543	-15567.06012975
lh        	0.0-0.21  	29436.2597	0.0       	1618.7268 	5000.0    	5213.80934449	27.23710344	0         	-11005.41360195	-4788.63055588	-15794.04415783
lh        	0.0-0.22  	29063.6488	0.0       	1695.809  	5000.0    	5213.80934449	27.1054589	0.14243502	-11096.15650592	-4928.51915632	-16024.67566224
lh        	0.0-0.23  	28691.0379	0.0       	1772.8912 	5000.0    	5213.80934449	26.97381436	2.63192323	-11190.33849304	-5068.40775677	-16258.74624981
lh        	0.0-0.24  	28318.427 	0.0       	1849.9735 	5000.0    	5213.80934449	26.84216982	4.91395409	-11287.76988079	-5208.29635721	-16496.06623799
lh        	0.0-0.25  	27945.8161	0.0       	1927.0557 	5000.0    	5213.80934449	26.71052529	7.01342249	-11388.27748019	-5348.18495765	-16736.46243783
lh        	0.0-0.26  	27573.2053	0.0       	2004.1379 	5000.0    	5213.80934449	26.57888075	8.95139331	-11491.70269644	-5488.07355809	-16979.77625454
lh        	0.0-0.27  	27200.5944	0.0       	2081.2201 	5000.0    	5213.80934449	26.44723621	10.74581074	-11597.89989526	-5627.96215853	-17225.86205379
lh        	0.0-0.28  	26827.9835	0.0       	2158.3024 	5000.0    	5213.80934449	26.31559168	12.4120555	-11706.73499199	-5767.85075898	-17474.58575097
lh        	0.0-0.29  	26455.3726	0.0       	2235.3846 	5000.0    	5213.80934449	26.18394714	13.96338682	-11818.08422864	-5907.73935942	-17725.82358806
lh        	0.0-0.3   	26082.7617	0.0       	2312.4668 	5000.0    	5213.80934449	26.0523026	15.41129606	-11931.83310952	-6047.62795987	-17979.46106938
lh        	0.0-0.31  	25710.1508	0.0       	2389.5491 	5000.0    	5213.80934449	25.92065806	16.7657918	-12047.87547175	-6187.51656031	-18235.39203206
lh        	0.0-0.32  	25337.54  	0.0       	2466.6313 	5000.0    	5213.80934449	25.78901353	18.03563155	-12166.11267063	-6327.40516076	-18493.51783139
lh        	0.0-0.33  	24964.9291	0.0       	2543.7135 	5000.0    	5213.80934449	25.65736899	19.22851132	-12286.45286324	-6467.2937612	-18753.74662444
lh        	0.0-0.34  	24592.3182	0.0       	2620.7957 	5000.0    	5213.80934449	25.52572445	20.35122169	-12408.8103764	-6607.18236164	-19015.99273804
lh        	0.0-0.35  	24219.7073	0.0       	2697.878  	5000.0    	5213.80934449	25.39407992	21.40977718	-12533.10514735	-6747.07096208	-19280.17610944
lh        	0.0-0.36  	23847.0964	0.0       	2774.9602 	5000.0    	5213.80934449	25.26243538	22.40952404	-12659.26222736	-6886.95956253	-19546.22178989
lh        	0.0-0.37  	23474.4856	0.0       	2852.0424 	5000.0    	5213.80934449	25.13079084	23.35523052	-12787.21133968	-7026.84816297	-19814.05950265
lh        	0.0-0.38  	23101.8747	0.0       	2929.1246 	5000.0    	5213.80934449	24.9991463	24.25116298	-12916.88648518	-7166.73676341	-20083.62324859
lh        	0.0-0.39  	22729.2638	0.0       	3006.2069 	5000.0    	5213.80934449	24.86750177	25.10115018	-13048.22558929	-7306.62536386	-20354.85095314
lh        	0.0-0.4   	22356.6529	0.0       	3083.2891 	5000.0    	5213.80934449	24.73585723	25.90863803	-13181.17018527	-7446.5139643	-20627.68414956
lh        	0.0-0.41  	21984.042 	0.0       	3160.3713 	5000.0    	5213.80934449	24.60421269	26.67673622	-13315.66512936	-7586.40256475	-20902.06769411
lh        	0.0-0.42  	21611.4311	0.0       	3237.4536 	5000.0    	5213.80934449	24.48431567	27.40825831	-13451.65834402	-7726.29116518	-21177.94950921
lh        	0.0-0.43  	21238.8203	0.0       	3314.5358 	5000.0    	5213.80934449	24.38629132	28.10575611	-13589.10058588	-7866.17976563	-21455.28035151
lh        	0.0-0.44  	20866.2094	0.0       	3391.618  	5000.0    	5213.80934449	24.30744849	28.77154947	-13727.94523573	-8006.06836607	-21734.0136018
lh        	0.0-0.45  	20493.5985	0.0       	3468.7002 	5000.0    	5213.80934449	24.245557 	29.40775202	-13868.14810792	-8145.95696652	-22014.10507444
lh        	0.0-0.46  	20120.9876	0.0       	3545.7825 	5000.0    	5213.80934449	24.19874654	30.01629358	-14009.66727716	-8285.84556696	-22295.51284412
lh        	0.0-0.47  	19748.3767	0.0       	3622.8647 	5000.0    	5213.80934449	24.16543202	30.59893976	-14152.46292067	-8425.73416741	-22578.19708808
lh        	0.0-0.48  	19375.7659	0.0       	3699.9469 	5000.0    	5213.80934449	24.14425773	31.15730901	-14296.49717424	-8565.62276785	-22862.11994209
lh        	0.0-0.49  	19003.155 	0.0       	3777.0291 	5000.0    	5213.80934449	24.13405491	31.69288768	-14441.73400059	-8705.51136829	-23147.24536888
lh        	0.0-0.5   	18630.5441	0.0       	3854.1114 	5000.0    	5213.80934449	24.13380873	32.20704321	-14588.13906889	-8845.39996873	-23433.53903762
lh        	0.0-0.51  	18257.9332	0.0       	3931.1936 	5000.0    	5213.80934449	24.14263251	32.70103577	-14735.6796442	-8985.28856917	-23720.96821338
lh        	0.0-0.52  	17885.3223	0.0       	4008.2758 	5000.0    	5213.80934449	24.15974707	33.17602862	-14884.32448599	-9125.17716962	-24009.50165561
lh        	0.0-0.53  	17512.7114	0.0       	4085.3581 	5000.0    	5213.80934449	24.18446416	33.63309721	-15034.04375466	-9265.06577006	-24299.10952472
lh        	0.0-0.54  	17140.1006	0.0       	4162.4403 	5000.0    	5213.80934449	24.21617305	34.07323734	-15184.80892556	-9404.95437051	-24589.76329607
lh        	0.0-0.55  	16767.4897	0.0       	4239.5225 	5000.0    	5213.80934449	24.25432939	34.49737236	-15336.59270951	-9544.84297095	-24881.43568046
lh        	0.0-0.56  	16394.8788	0.0       	4316.6047 	5000.0    	5213.80934449	24.29844612	34.90635971	-15489.36897947	-9684.7315714	-25174.10055086
lh        	0.0-0.57  	16022.2679	0.0       	4393.687  	5000.0    	5213.80934449	24.34808587	35.30099663	-15643.11270262	-9824.62017184	-25467.73287446
