time      	proj_id   	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	SB_Risk   	B_Risk    	SO_Risk   	O_Risk    	B_VaR     	O_VaR     	ST_VaR    	T_VaR     
2025-10-19 01:28:06	001       	ls        	37261.0882	0         	0         	5000.0    	5213.80934449	30.079    	30.00163871	0.0       	0         	-10440.15611825	-1850.96994657	-12293.50972296	-12291.12606482
2025-10-19 01:28:06	001       	cp        	28522.1712	0.3427    	0         	5000.0    	5213.80934449	19.463    	19.57486503	0.0       	0         	-7140.27654716	-3722.8067043	-10898.84000229	-10863.08325146
2025-10-19 01:28:06	001       	lh        	37261.0882	0         	0         	5000.0    	5213.80934449	30.134    	30.00163871	0.0       	0         	-10440.15611825	-1850.96994657	-12311.83100395	-12291.12606482
2025-10-19 01:28:06	001       	tm        	22468.1977	0.5       	422.6139  	5000.0    	5213.80934449	8.611     	8.55975883	6.882     	6.878766  	-5412.48555667	-5450.5976948	-10888.80917821	-10863.08325146
2025-10-19 01:28:13	002       	ls        	30556.6529	0         	0         	5000.0    	9213.80934449	28.833    	28.80946807	0.0       	0         	-10335.67012991	-3271.0218313	-13611.37058791	-13606.69196121
2025-10-19 01:28:13	002       	cp        	17535.7941	0.6056    	0         	5000.0    	9213.80934449	0.171     	0.17226071	0.0       	0         	-4284.16797161	-6578.91527985	-10872.39408927	-10863.08325146
2025-10-19 01:28:13	002       	lh        	30556.6529	0         	0         	5000.0    	9213.80934449	28.913    	28.80946807	0.0       	0         	-10335.67012991	-3271.0218313	-13611.55366133	-13606.69196121
2025-10-19 01:28:13	002       	tm        	12556.5444	0.75      	387.9048  	5000.0    	9213.80934449	0.0       	0         	0.687     	0.68825142	-2698.27929129	-8164.80396017	-10896.09387269	-10863.08325146
2025-10-19 01:28:19	003       	ls        	33070.8161	0         	0         	5000.0    	7713.80934449	29.494    	29.25653206	0.0       	0         	-10297.13056598	-2738.50237453	-12997.75715048	-13035.63294051
2025-10-19 01:28:19	003       	cp        	21409.2027	0.507     	0         	5000.0    	7713.80934449	7.905     	7.96055232	0.0       	0         	-5355.20996452	-5507.87328694	-10825.08865271	-10863.08325146
2025-10-19 01:28:19	003       	lh        	33070.8161	0         	0         	5000.0    	7713.80934449	29.193    	29.25653206	0.0       	0         	-10297.13056598	-2738.50237453	-13077.07126853	-13035.63294051
2025-10-19 01:28:19	003       	tm        	17163.6388	0.625     	316.9624  	5000.0    	7713.80934449	0.0       	0         	0.623     	0.57698066	-4059.36239504	-6803.72085643	-10862.07031723	-10863.08325147
2025-10-19 01:28:25	004       	ls        	41451.3602	0         	0         	5000.0    	2713.80934449	30.65     	30.74674537	0.0       	0         	-10602.28535155	-963.43751861	-11585.46645162	-11565.72287016
2025-10-19 01:28:25	004       	cp        	36456.7733	0.1784    	0         	5000.0    	2713.80934449	26.3      	26.56677024	0.0       	0         	-8925.34721644	-1937.73603502	-10919.50352301	-10863.08325146
2025-10-19 01:28:25	004       	lh        	41451.3602	0         	0         	5000.0    	2713.80934449	30.573    	30.74674537	0.0       	0         	-10602.28535155	-963.43751861	-11581.90106317	-11565.72287016
