time      	proj_id   	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_CVaR    	O_CVaR    	T_CVaR    	B_VaR     	O_VaR     	T_VaR     
# tm-cvar-local-scan proj=001 step=0.010000 points=101 local_peaks=2
# tm-cvar-neighborhood idx=1 nu_local=0.340000 range=[0.330000,0.350000] coarse_tcvar=-11605.98205704
# tm-cvar-refined idx=1 nu_opt=0.34270264 salary_opt=0.0000 reward=28522.1709 b_cvar=-7628.52767256 o_cvar=-3977.37154523 t_cvar=-11605.89921779
# tm-cvar-neighborhood idx=2 nu_local=0.360000 range=[0.350000,0.370000] coarse_tcvar=-11605.98136093
# tm-cvar-refined idx=2 nu_opt=0.36186279 salary_opt=57.9932 reward=27753.2511 b_cvar=-7397.93721974 o_cvar=-4208.00495997 t_cvar=-11605.94217971
# tm-cvar-global-opt nu=0.34270264 salary=0.0000 reward=28522.1709 b_cvar=-7628.52767256 o_cvar=-3977.37154523 t_cvar=-11605.89921779
2026-03-05 13:33:45	001       	ls        	37261.0882	0         	0         	5000.0    	5213.80934449	30.00163871	0         	-11013.68237102	-1921.81080665	-12935.49317767	-10440.15611825	-1850.96994657	-12291.12606482
2026-03-05 13:33:45	001       	cp        	28522.1773	0.3427    	0         	5000.0    	5213.80934449	19.57487606	0         	-7628.52971213	-3977.36950565	-11605.89921778	-7140.27859048	-3722.80466099	-10863.08325147
2026-03-05 13:33:45	001       	lh        	37261.0882	0         	0         	5000.0    	5213.80934449	30.00163871	0         	-11013.68237102	-1921.81080665	-12935.49317767	-10440.15611825	-1850.96994657	-12291.12606482
2026-03-05 13:33:45	001       	tm        	28522.1709	0.3427    	0         	5000.0    	5213.80934449	19.57486458	0         	-7628.52767256	-3977.37154523	-11605.89921779	-7140.27646543	-3722.80678604	-10863.08325147
# tm-cvar-local-scan proj=002 step=0.010000 points=101 local_peaks=1
# tm-cvar-neighborhood idx=1 nu_local=0.630000 range=[0.620000,0.640000] coarse_tcvar=-11605.96876267
# tm-cvar-refined idx=1 nu_opt=0.62217041 salary_opt=50.0000 reward=16938.2921 b_cvar=-4378.07208978 o_cvar=-7227.85910300 t_cvar=-11605.93119278
# tm-cvar-global-opt nu=0.62217041 salary=50.0000 reward=16938.2921 b_cvar=-4378.07208978 o_cvar=-7227.85910300 t_cvar=-11605.93119278
2026-03-05 13:38:58	002       	ls        	30556.6529	0         	0         	5000.0    	9213.80934449	28.80946807	0         	-11484.40595151	-3396.21133009	-14880.6172816	-10335.67012991	-3271.0218313	-13606.69196121
2026-03-05 13:38:58	002       	cp        	17535.7941	0.6056    	0         	5000.0    	9213.80934449	0.17226071	0         	-4577.11861173	-7028.78060605	-11605.89921779	-4284.16797161	-6578.91527985	-10863.08325146
2026-03-05 13:38:58	002       	lh        	30556.6529	0         	0         	5000.0    	9213.80934449	28.80946807	0         	-11484.40595151	-3396.21133009	-14880.6172816	-10335.67012991	-3271.0218313	-13606.69196121
2026-03-05 13:38:58	002       	tm        	16938.2921	0.6222    	50.0      	5000.0    	9213.80934449	0         	0         	-4378.07208978	-7227.859103	-11605.93119278	-4097.4579092	-6765.6934154	-10863.1513246
# tm-cvar-local-scan proj=003 step=0.010000 points=101 local_peaks=2
# tm-cvar-neighborhood idx=1 nu_local=0.510000 range=[0.500000,0.520000] coarse_tcvar=-11605.98993809
# tm-cvar-refined idx=1 nu_opt=0.50702637 salary_opt=0.0000 reward=21409.2097 b_cvar=-5721.40077491 o_cvar=-5884.49844287 t_cvar=-11605.89921779
# tm-cvar-neighborhood idx=2 nu_local=0.530000 range=[0.520000,0.540000] coarse_tcvar=-11605.95652047
# tm-cvar-refined idx=2 nu_opt=0.52356323 salary_opt=50.0000 reward=20787.1648 b_cvar=-5522.45042104 o_cvar=-6083.47872213 t_cvar=-11605.92914316
# tm-cvar-global-opt nu=0.50702637 salary=0.0000 reward=21409.2097 b_cvar=-5721.40077491 o_cvar=-5884.49844287 t_cvar=-11605.89921779
2026-03-05 13:44:39	003       	ls        	33070.8161	0         	0         	5000.0    	7713.80934449	29.25653206	0         	-11220.11136025	-2843.3111338	-14063.42249405	-10297.13056598	-2738.50237453	-13035.63294051
2026-03-05 13:44:39	003       	cp        	21409.2027	0.507     	0         	5000.0    	7713.80934449	7.96055232	0         	-5721.39826467	-5884.50095312	-11605.89921779	-5355.20996452	-5507.87328694	-10863.08325146
2026-03-05 13:44:39	003       	lh        	33070.8161	0         	0         	5000.0    	7713.80934449	29.25653206	0         	-11220.11136025	-2843.3111338	-14063.42249405	-10297.13056598	-2738.50237453	-13035.63294051
2026-03-05 13:44:39	003       	tm        	21409.2097	0.507     	0         	5000.0    	7713.80934449	7.960576  	0         	-5721.40077491	-5884.49844287	-11605.89921779	-5355.21257998	-5507.87067149	-10863.08325147
# tm-cvar-local-scan proj=004 step=0.010000 points=101 local_peaks=2
# tm-cvar-neighborhood idx=1 nu_local=0.180000 range=[0.170000,0.190000] coarse_tcvar=-11605.94563425
# tm-cvar-refined idx=1 nu_opt=0.17837769 salary_opt=0.0000 reward=36456.7850 b_cvar=-9535.66461119 o_cvar=-2070.23460659 t_cvar=-11605.89921779
# tm-cvar-neighborhood idx=2 nu_local=0.210000 range=[0.200000,0.220000] coarse_tcvar=-11606.05573384
# tm-cvar-refined idx=2 nu_opt=0.20276123 salary_opt=74.0060 reward=35416.3053 b_cvar=-9241.95651326 o_cvar=-2364.03973217 t_cvar=-11605.99624542
# tm-cvar-global-opt nu=0.17837769 salary=0.0000 reward=36456.7850 b_cvar=-9535.66461119 o_cvar=-2070.23460659 t_cvar=-11605.89921779
2026-03-05 13:54:24	004       	ls        	41451.3602	0         	0         	5000.0    	2713.80934449	30.74674537	0         	-11134.8616648	-1000.31047951	-12135.17214431	-10602.28535155	-963.43751861	-11565.72287016
2026-03-05 13:54:24	004       	cp        	36456.7733	0.1784    	0         	5000.0    	2713.80934449	26.56677024	0         	-9535.6611596	-2070.23805818	-11605.89921778	-8925.34721644	-1937.73603502	-10863.08325146
2026-03-05 13:54:24	004       	lh        	41451.3602	0         	0         	5000.0    	2713.80934449	30.74674537	0         	-11134.8616648	-1000.31047951	-12135.17214431	-10602.28535155	-963.43751861	-11565.72287016
2026-03-05 13:54:24	004       	tm        	36456.785 	0.1784    	0         	5000.0    	2713.80934449	26.56678221	0         	-9535.66461119	-2070.23460659	-11605.89921779	-8925.35081268	-1937.73243878	-10863.08325146
