time      	proj_id   	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	SB_Risk   	B_Risk    	SO_Risk   	O_Risk    	B_VaR     	O_VaR     	ST_VaR    	T_VaR     
2025-10-17 23:39:00	001       	ls        	37261.0882	0         	0         	5000.0    	37431.28795637	30.0489   	30.00163871	37.7969   	37.79353069	-10440.15611825	-13288.59275258	-23733.67610671	-23728.74887083
2025-10-17 23:39:00	001       	cp        	17137.2768	0.7892    	0         	5000.0    	37431.28795637	0.4542    	0.45122733	38.9429   	38.92838196	-4128.28845174	-15452.72405124	-19560.22199535	-19581.01250298
2025-10-17 23:39:00	001       	lh        	37261.0882	0         	0         	5000.0    	37431.28795637	29.9134   	30.00163871	37.6894   	37.79353069	-10440.15611825	-13288.59275258	-23778.3675949	-23728.74887083
2025-10-17 23:39:00	001       	tm        	9794.0375 	0.875     	1066.3249 	5000.0    	37431.28795637	0.0       	0         	41.5028   	41.57260659	-1945.18977987	-17635.82272312	-19592.08989467	-19581.01250298
2025-10-17 23:39:44	002       	ls        	30556.6529	0         	0         	5000.0    	41431.28795637	28.8438   	28.80946807	39.4341   	39.43518825	-10335.67012991	-14708.64463731	-25034.59818055	-25044.31476722
2025-10-17 23:39:44	002       	cp        	11776.3749	0.8735    	0         	5000.0    	41431.28795637	0.0       	0         	40.511    	40.57003865	-2476.97377595	-17104.03872703	-19581.77722236	-19581.01250298
2025-10-17 23:39:44	002       	lh        	30556.6529	0         	0         	5000.0    	41431.28795637	28.8856   	28.80946807	39.4609   	39.43518825	-10335.67012991	-14708.64463731	-25033.61367267	-25044.31476722
2025-10-17 23:39:44	002       	tm        	6556.9815 	0.9375    	795.0908  	5000.0    	41431.28795637	0.0       	0         	42.2434   	42.25974665	-849.17548319	-18731.83701979	-19587.12175954	-19581.01250298
2025-10-17 23:40:27	003       	ls        	33070.8161	0         	0         	5000.0    	39931.28795637	29.2076   	29.25653206	38.8622   	38.86086972	-10297.13056598	-14176.12518053	-24468.39550877	-24473.25574651
2025-10-17 23:40:27	003       	cp        	13707.6674	0.8419    	0         	5000.0    	39931.28795637	0.0       	0         	39.9356   	39.99571854	-3096.22015704	-16484.79234595	-19587.73118789	-19581.01250298
2025-10-17 23:40:27	003       	lh        	33070.8161	0         	0         	5000.0    	39931.28795637	29.2753   	29.25653206	38.8894   	38.86086972	-10297.13056598	-14176.12518053	-24460.91986321	-24473.25574651
2025-10-17 23:40:27	003       	tm        	10956.5903	0.875     	411.5123  	5000.0    	39931.28795637	0.0       	0         	40.9807   	40.97895477	-2253.72451477	-17327.28798821	-19589.33884245	-19581.01250298
2025-10-17 23:41:10	004       	ls        	41451.3602	0         	0         	5000.0    	34931.28795637	30.7822   	30.74674537	36.6045   	36.5607217	-10602.28535155	-12401.06032462	-23002.08606098	-23003.34567617
2025-10-17 23:41:10	004       	cp        	20830.4477	0.7365    	0         	5000.0    	34931.28795637	6.0208    	6.01779861	37.638    	37.69557278	-5160.36144581	-14420.65105717	-19581.58291651	-19581.01250298
2025-10-17 23:41:10	004       	lh        	41451.3602	0         	0         	5000.0    	34931.28795637	30.7234   	30.74674537	36.5419   	36.5607217	-10602.28535155	-12401.06032462	-23007.35343246	-23003.34567617
2025-10-17 23:41:10	004       	tm        	19638.2444	0.75      	168.2097  	5000.0    	34931.28795637	3.8792    	3.87872674	38.2087   	38.23415454	-4815.98746685	-14765.02503613	-19582.53906516	-19581.01250298
2025-10-17 23:41:53	005       	ls        	54022.1764	0         	0         	5000.0    	27431.28795637	33.0257   	32.98206532	31.3839   	31.36639807	-11813.44708823	-9738.46304075	-21546.31805111	-21551.91012898
2025-10-17 23:41:53	005       	cp        	33491.1891	0.5783    	0         	5000.0    	27431.28795637	23.0079   	22.97258618	32.4961   	32.50124932	-8256.57925316	-11324.43324982	-19577.15138103	-19581.01250298
2025-10-17 23:41:53	005       	lh        	54022.1764	0         	0         	5000.0    	27431.28795637	32.949    	32.98206532	31.3941   	31.36639807	-11813.44708823	-9738.46304075	-21546.17841565	-21551.91012898
2025-10-17 23:41:53	005       	tm        	29032.3556	0.625     	579.7177  	5000.0    	27431.28795637	16.9551   	16.93499424	35.2869   	35.27911205	-7069.71910782	-12511.29339517	-19598.60176436	-19581.01250298
2025-10-17 23:42:35	006       	ls        	79163.8086	0         	0         	5000.0    	12431.28795637	38.6829   	38.71493378	0.0       	0         	-15838.48387222	-4413.26847301	-20233.50483182	-20251.75234523
2025-10-17 23:42:35	006       	cp        	65928.2291	0.2621    	0         	5000.0    	12431.28795637	37.8189   	37.73200425	5.8571    	5.83673837	-14449.01486788	-5131.99763511	-19584.30527818	-19581.01250299
2025-10-17 23:42:35	006       	lh        	79163.8086	0         	0         	5000.0    	12431.28795637	38.6746   	38.71493378	0.0       	0         	-15838.48387222	-4413.26847301	-20240.9630003	-20251.75234523
2025-10-17 23:42:35	006       	tm        	39626.2807	0.5       	2955.6691 	5000.0    	12431.28795637	21.0554   	21.02563536	34.9585   	34.95860233	-8397.83710973	-11183.17539325	-19605.2926871	-19581.01250298
2025-10-17 23:43:26	007       	ls        	22261.0882	0         	0         	5000.0    	46380.58757077	0.8399    	0.8313613 	41.0845   	41.05066044	-4228.66989094	-16465.7101987	-20678.32256357	-20694.38008964
2025-10-17 23:43:26	007       	cp        	13623.4239	0.8226    	0         	5000.0    	46380.58757077	0.0       	0         	41.0719   	41.09268122	-3552.69888335	-16477.6264191	-20021.5656514	-20030.32530246
2025-10-17 23:43:26	007       	lh        	22261.0882	0         	0         	5000.0    	46380.58757077	0.8304    	0.8313613 	41.1194   	41.05066044	-4228.66989094	-16465.7101987	-20681.36397936	-20694.38008964
2025-10-17 23:43:26	007       	tm        	4882.1302 	0.9228    	1590.652  	5000.0    	46380.58757077	0.0       	0         	43.879    	43.88842735	-666.11843336	-19364.13449655	-20041.89539871	-20030.2529299
2025-10-17 23:44:09	008       	ls        	27261.0882	0         	0         	5000.0    	43397.4876993	10.3648   	10.39932856	40.1785   	40.12395038	-5814.85730356	-15406.67104998	-21209.05581953	-21221.52835355
2025-10-17 23:44:09	008       	cp        	14663.8496	0.8127    	0         	5000.0    	43397.4876993	0.0       	0         	40.3396   	40.33330402	-3642.89851938	-15809.26285511	-19461.14803691	-19452.16137449
2025-10-17 23:44:09	008       	lh        	27261.0882	0         	0         	5000.0    	43397.4876993	10.4271   	10.39932856	40.1371   	40.12395038	-5814.85730356	-15406.67104998	-21205.60018501	-21221.52835355
