time      	proj_id   	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	SB_Risk   	B_Risk    	SO_Risk   	O_Risk    	B_VaR     	O_VaR     	ST_VaR    	T_VaR     
2026-02-26 15:32:19	001       	ls        	37440.272 	0         	0         	5106.90467225	5106.90467225	29.712    	29.54219291	0.0       	0         	-10447.08906727	-1813.01740124	-12238.19609916	-12260.10646851
2026-02-26 15:32:19	001       	cp        	28880.5352	0.3357    	0         	5106.90467225	5106.90467225	19.294    	19.2050781	0.0       	0         	-7216.60820837	-3646.47504309	-10834.78699325	-10863.08325146
2026-02-26 15:32:19	001       	lh        	37440.272 	0         	0         	5106.90467225	5106.90467225	29.584    	29.54219291	0.0       	0         	-10447.08906727	-1813.01740124	-12295.11003999	-12260.10646851
2026-02-26 15:32:19	001       	tm        	22556.1272	0.5       	441.4918  	5106.90467225	5106.90467225	7.526     	7.57638629	7.722     	7.77482712	-5411.63536599	-5451.44788547	-10842.39733717	-10863.08325146
2026-02-26 15:32:27	002       	ls        	34088.0544	0         	0         	7106.90467225	7106.90467225	19.521    	19.75459243	0.0       	0         	-10317.88495004	-2523.04334361	-12857.25268455	-12840.92829365
2026-02-26 15:32:27	002       	cp        	24044.6427	0.4671    	0         	7106.90467225	7106.90467225	0.0       	0         	0.0       	0         	-5788.55289894	-5074.53035252	-10888.8583318	-10863.08325146
2026-02-26 15:32:27	002       	lh        	34088.0544	0         	0         	7106.90467225	7106.90467225	19.792    	19.75459243	0.0       	0         	-10317.88495004	-2523.04334361	-12819.78190893	-12840.92829365
2026-02-26 15:32:27	002       	tm        	18600.2985	0.625     	424.1376  	7106.90467225	7106.90467225	0.0       	0         	3.185     	3.26963919	-4054.5318631	-6808.55138836	-10840.23044325	-10863.08325146
2026-02-26 15:32:32	003       	ls        	35345.136 	0         	0         	6356.90467225	6356.90467225	23.485    	23.42494261	0.0       	0         	-10366.02445063	-2256.78361522	-12638.85190626	-12622.80806584
2026-02-26 15:32:32	003       	cp        	25734.8708	0.4178    	0         	6356.90467225	6356.90467225	4.768     	4.78630779	0.0       	0         	-6324.07798203	-4539.00526943	-10834.49904624	-10863.08325146
